rental	Album	buszuuu
3.00 stars	Sleep - Dopesmoker	4.00 stars
3.50 stars	Yeah Yeah Yeahs - Fever to Tell	3.50 stars
4.00 stars	Four Tet - Rounds	4.00 stars
3.00 stars	Ephel Duath - The Painter's Palette	3.00 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	3.50 stars
3.00 stars	Gridlock - Formless	3.00 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	3.50 stars
4.00 stars	Madvillain - Madvillainy	4.00 stars
4.00 stars	of Montreal - Satanic Panic in the Attic	3.50 stars
3.50 stars	Devendra Banhart - Rejoicing in the Hands	4.00 stars
4.00 stars	Reigning Sound - Too Much Guitar	3.50 stars
3.50 stars	Mastodon - Leviathan	4.00 stars
3.50 stars	Zelienople - Sleeper Coach	3.50 stars
3.00 stars	Akron/Family - Akron/Family	3.50 stars
3.00 stars	Mount Eerie - No Flashlight: Songs of the Fulfilled Night	3.50 stars
4.00 stars	Sufjan Stevens - Illinois	4.50 stars
4.00 stars	The Psychic Paramount - Gamelan Into the Mink Supernatural	4.00 stars
4.00 stars	Earth - Hex; or Printing in the Infernal Method	3.50 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	4.00 stars
3.50 stars	Ryoji Ikeda - dataplex	3.50 stars
3.50 stars	You Slut! - Critical Meat	4.00 stars
5.00 stars	J Dilla - Donuts	4.00 stars
4.00 stars	The Marked Men - Fix My Brain	3.00 stars
3.00 stars	My Disco - Cancer	3.00 stars
3.00 stars	Wolf Eyes - Human Animal	3.00 stars
3.00 stars	Factums - Alien Native	3.00 stars
3.50 stars	Balmorhea - Balmorhea	3.00 stars
3.50 stars	Furia - Martwa polska jesień	3.50 stars
3.50 stars	Battles - Mirrored	3.50 stars
3.50 stars	The Angelic Process - Weighing Souls With Sand	4.50 stars
3.50 stars	The National - Boxer	3.00 stars
4.00 stars	Andrew Jackson Jihad - People Who Can Eat People Are the Luckiest People in the World	3.00 stars
3.50 stars	Sightings - Through the Panama	2.50 stars
4.00 stars	Burial - Untrue	3.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	3.50 stars
3.50 stars	Fuck Buttons - Street Horrrsing	3.00 stars
3.50 stars	Viper - You'll Cowards Don't Even Smoke Crack	2.50 stars
3.50 stars	Frustration - Relax	2.50 stars
