rental	Album	maybeimbatmanjt
4.00 stars	David Bowie - Low	4.50 stars
3.00 stars	Fleetwood Mac - Rumours	4.00 stars
4.00 stars	Television - Marquee Moon	4.00 stars
3.50 stars	Kraftwerk - Trans Europa Express	4.00 stars
3.50 stars	Iggy Pop - The Idiot	4.00 stars
3.50 stars	The Stranglers - Stranglers IV (Rattus Norvegicus)	3.50 stars
3.50 stars	The Clash - The Clash	3.50 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.00 stars
4.00 stars	Ramones - Rocket to Russia	3.50 stars
4.00 stars	Suicide - Suicide	4.00 stars
4.50 stars	Wire - Pink Flag	4.00 stars
4.50 stars	Robbie Basho - Visions of the Country	3.50 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	3.00 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	4.00 stars
3.00 stars	Magazine - Real Life	4.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	4.00 stars
3.50 stars	Wire - Chairs Missing	3.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	3.50 stars
3.00 stars	Blondie - Parallel Lines	4.00 stars
3.50 stars	Pere Ubu - Dub Housing	3.50 stars
4.00 stars	Public Image Ltd - Public Image	3.50 stars
3.50 stars	Lizzy Mercier Descloux - Press Color	3.00 stars
4.00 stars	Chrome - Half Machine Lip Moves	3.50 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	3.50 stars
3.50 stars	Contortions - Buy	4.00 stars
4.00 stars	The Pop Group - Y	4.00 stars
4.00 stars	Devo - Duty Now for the Future	3.50 stars
4.00 stars	Joy Division - Unknown Pleasures	4.50 stars
4.00 stars	Chic - Risqué	3.00 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
4.00 stars	Wire - 154	3.50 stars
3.50 stars	Yellow Magic Orchestra - Solid State Survivor	4.00 stars
3.50 stars	The Damned - Machine Gun Etiquette	3.50 stars
4.00 stars	PiL - Metal Box	4.00 stars
3.00 stars	R.L. Crutchfield's Dark Day - Exterminating Angel	3.50 stars
3.50 stars	Suicide - Alan Vega · Martin Rev	3.50 stars
3.50 stars	Young Marble Giants - Colossal Youth	3.00 stars
3.50 stars	The Durutti Column - The Return of The Durutti Column	3.00 stars
3.50 stars	The Feelies - Crazy Rhythms	4.00 stars
3.50 stars	Tuxedomoon - Half-Mute	3.50 stars
3.50 stars	The Pop Group - For How Much Longer Do We Tolerate Mass Murder?	4.00 stars
3.50 stars	The Cramps - Songs the Lord Taught Us	4.00 stars
4.00 stars	X - Los Angeles	3.50 stars
4.00 stars	The Soft Boys - Underwater Moonlight	3.00 stars
3.00 stars	Prince - Dirty Mind	4.00 stars
4.00 stars	The Units - Digital Stimulation	3.00 stars
4.00 stars	The Fall - Grotesque (After the Gramme)	4.00 stars
3.50 stars	The Jam - Sound Affects	4.00 stars
3.00 stars	The Flesh Eaters - A Minute to Pray, a Second to Die	3.00 stars
3.50 stars	Maanam - Maanam	3.50 stars
4.00 stars	Tuxedomoon - Desire	4.00 stars
3.50 stars	The Cure - Faith	4.00 stars
3.50 stars	X - Wild Gift	3.00 stars
3.00 stars	Kraftwerk - Computerwelt	4.00 stars
4.00 stars	The Psychedelic Furs - Talk Talk Talk	3.00 stars
4.00 stars	Mission of Burma - Signals, Calls, and Marches	4.00 stars
4.00 stars	The Gun Club - Fire of Love	4.50 stars
4.00 stars	This Heat - Deceit	4.50 stars
4.00 stars	Glenn Branca - The Ascension	4.50 stars
3.00 stars	Orchestral Manœuvres in the Dark - Architecture & Morality	3.50 stars
3.50 stars	Soft Cell - Non-Stop Erotic Cabaret	4.00 stars
3.50 stars	Solid Space - Space Museum	3.50 stars
3.50 stars	Misfits - Walk Among Us	3.50 stars
4.50 stars	The Fall - Hex Enduction Hour	3.50 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	3.50 stars
4.00 stars	The Cure - Pornography	3.50 stars
3.50 stars	Savage Republic - Tragic Figures	4.00 stars
4.00 stars	Wall of Voodoo - Call of the West	3.00 stars
4.00 stars	The Gun Club - Miami	4.00 stars
5.00 stars	Mission of Burma - Vs.	4.00 stars
3.50 stars	The Dream Syndicate - The Days of Wine and Roses	3.00 stars
3.50 stars	Dead Kennedys - Plastic Surgery Disasters	3.50 stars
3.00 stars	Michael Jackson - Thriller	4.00 stars
3.00 stars	Death in June - The Guilty Have No Pride	3.00 stars
3.50 stars	Djeli Moussa Diawara - Yasimika	4.50 stars
4.00 stars	Dolly Mixture - Demonstration Tapes	3.00 stars
5.00 stars	Wipers - Over the Edge	4.00 stars
2.50 stars	U2 - War	3.00 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	3.50 stars
3.50 stars	Violent Femmes - Violent Femmes	4.00 stars
3.50 stars	R.E.M. - Murmur	4.00 stars
3.00 stars	New Order - Power, Corruption & Lies	4.00 stars
3.50 stars	The Chameleons - Script of the Bridge	4.00 stars
3.50 stars	The The - Soul Mining	4.00 stars
3.50 stars	Butthole Surfers - Psychic...Powerless...Another Man's Sac	4.00 stars
3.50 stars	Manuel Göttsching - E2-E4	4.00 stars
4.00 stars	The Smiths - The Smiths	3.50 stars
3.50 stars	Black Flag - My War	3.50 stars
4.50 stars	Meat Puppets - Meat Puppets II	3.50 stars
3.50 stars	Echo & The Bunnymen - Ocean Rain	4.00 stars
3.50 stars	Prince and The Revolution - Purple Rain	4.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.00 stars
3.00 stars	Flipper - Gone Fishin'	3.50 stars
4.50 stars	The Replacements - Let It Be	4.00 stars
4.00 stars	Minutemen - Double Nickels on the Dime	4.50 stars
3.50 stars	Felt - The Strange Idols Pattern and Other Short Stories	3.50 stars
3.50 stars	Cocteau Twins - Treasure	4.00 stars
3.00 stars	Camper Van Beethoven - Telephone Free Landslide Victory	3.50 stars
3.00 stars	Tears for Fears - Songs From the Big Chair	4.00 stars
3.50 stars	The Smiths - Meat Is Murder	3.50 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.50 stars
3.50 stars	Killing Joke - Night Time	3.50 stars
4.00 stars	Prefab Sprout - Steve McQueen	4.50 stars
3.50 stars	Hüsker Dü - Flip Your Wig	4.00 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.00 stars
3.00 stars	The Jesus and Mary Chain - Psychocandy	3.50 stars
4.00 stars	CCCP Fedeli alla Linea - Affinità-divergenze fra il compagno Togliatti e noi: Del conseguimento della maggiore età	3.50 stars
4.00 stars	Big Black - Atomizer	4.00 stars
3.00 stars	Talk Talk - The Colour of Spring	4.00 stars
3.50 stars	Metallica - Master of Puppets	4.00 stars
3.50 stars	Sonic Youth - EVOL	4.00 stars
3.50 stars	Felt - Forever Breathes the Lonely Word	4.00 stars
4.50 stars	The Chameleons - Strange Times	3.50 stars
3.50 stars	Slayer - Reign in Blood	4.00 stars
3.00 stars	XTC - Skylarking	3.50 stars
3.00 stars	Loop - Heaven's End	3.00 stars
3.50 stars	Hüsker Dü - Warehouse: Songs and Stories	3.00 stars
3.00 stars	Prince - Sign "☮" the Times	4.00 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.00 stars
3.50 stars	Big Black - Songs About Fucking	3.50 stars
3.00 stars	Psychick TV - Allegory and Self	3.00 stars
3.50 stars	Red Temple Spirits - Dancing to Restore an Eclipsed Moon	3.00 stars
4.00 stars	Galaxie 500 - Today	4.00 stars
4.00 stars	Pixies - Surfer Rosa	4.00 stars
3.50 stars	Cocteau Twins - Blue Bell Knoll	3.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
3.50 stars	Dinosaur Jr - Bug	3.50 stars
3.50 stars	My Bloody Valentine - Isn't Anything	3.50 stars
4.50 stars	Pixies - Doolittle	4.50 stars
3.50 stars	The Cure - Disintegration	4.50 stars
3.50 stars	Beastie Boys - Paul's Boutique	4.00 stars
4.00 stars	Galaxie 500 - On Fire	4.00 stars
4.00 stars	NoMeansNo - Wrong	4.00 stars
3.50 stars	Bad Religion - No Control	3.50 stars
3.50 stars	Godflesh - Streetcleaner	3.00 stars
3.00 stars	The Chills - Submarine Bells	3.00 stars
3.00 stars	The Sundays - Reading, Writing and Arithmetic	4.00 stars
4.00 stars	Sun City Girls - Torch of the Mystics	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - The Good Son	3.50 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
4.00 stars	Prefab Sprout - Jordan: The Comeback	4.00 stars
3.50 stars	Ride - Nowhere	3.50 stars
3.50 stars	Drive Like Jehu - Drive Like Jehu	3.50 stars
4.50 stars	Slint - Spiderland	3.50 stars
3.00 stars	The Legendary Pink Dots - The Maria Dimension	3.00 stars
3.00 stars	Primus - Sailing the Seas of Cheese	3.50 stars
3.50 stars	The Ex + Tom Cora - Scrabbling at the Lock	3.00 stars
4.00 stars	Les Rallizes dénudés - '77 Live	4.00 stars
3.00 stars	Slowdive - Just for a Day	3.00 stars
2.50 stars	Red Hot Chili Peppers - Blood Sugar Sex Magik	3.50 stars
3.50 stars	Nirvana - Nevermind	3.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.00 stars
4.00 stars	Talk Talk - Laughing Stock	3.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.00 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.00 stars
3.00 stars	Rage Against the Machine - Rage Against the Machine	4.00 stars
3.50 stars	Harry Pussy - Harry Pussy	4.00 stars
3.50 stars	Slowdive - Souvlaki	4.00 stars
3.00 stars	Fugazi - In on the Kill Taker	3.50 stars
3.00 stars	Stereolab - Transient Random-Noise Bursts With Announcements	4.00 stars
3.00 stars	Tindersticks - Tindersticks	4.00 stars
3.50 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	3.50 stars
3.00 stars	Autechre - Incunabula	3.50 stars
3.50 stars	Auktyon - Птица	3.50 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	4.50 stars
3.50 stars	Low - I Could Live in Hope	4.00 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	3.50 stars
3.50 stars	Nas - Illmatic	4.00 stars
3.00 stars	Sunny Day Real Estate - Diary	3.50 stars
3.50 stars	Weezer - Weezer [Blue Album]	3.50 stars
3.00 stars	Drive Like Jehu - Yank Crime	3.50 stars
3.00 stars	Kyuss - Kyuss [Welcome to Sky Valley]	4.00 stars
4.50 stars	Guided by Voices - Bee Thousand	4.50 stars
3.50 stars	Portishead - Dummy	4.50 stars
3.50 stars	Shellac - At Action Park	3.50 stars
3.50 stars	Prolapse - Pointless Walks to Dismal Places	4.00 stars
3.00 stars	Slowdive - Pygmalion	3.50 stars
3.50 stars	Death - Symbolic	4.00 stars
4.00 stars	Tindersticks - Tindersticks [II]	4.00 stars
3.50 stars	Pavement - Wowee Zowee	4.00 stars
3.50 stars	Flying Saucer Attack - Further	3.00 stars
3.50 stars	Fugazi - Red Medicine	3.50 stars
3.50 stars	Sonic Youth - Washing Machine	4.00 stars
3.50 stars	Mr. Bungle - Disco Volante	3.00 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	3.00 stars
3.50 stars	Sixteen Horsepower - Sackcloth 'n' Ashes	4.00 stars
3.00 stars	The Auteurs - After Murder Park	3.50 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	3.50 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	3.00 stars
3.50 stars	Belle and Sebastian - Tigermilk	4.00 stars
3.50 stars	Cardiacs - Sing to God	2.50 stars
3.00 stars	Beck - Odelay	3.00 stars
3.50 stars	Eels - Beautiful Freak	2.50 stars
4.00 stars	Weezer - Pinkerton	3.50 stars
3.00 stars	Fishmans - Long Season	4.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	3.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.00 stars
3.50 stars	Built to Spill - Perfect From Now On	4.50 stars
3.00 stars	Elliott Smith - Either / Or	4.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.00 stars
3.50 stars	Prodigy - The Fat of the Land	4.00 stars
4.00 stars	Godspeed You Black Emperor! - F♯A♯∞	3.00 stars
3.00 stars	Björk - Homogenic	4.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.00 stars
2.50 stars	AIR - Moon Safari	3.50 stars
3.50 stars	Duster - Stratosphere	2.50 stars
4.00 stars	Tortoise - TNT	3.50 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	3.50 stars
3.00 stars	Mercury Rev - Deserter's Songs	2.50 stars
3.00 stars	Built to Spill - Keep It Like a Secret	4.00 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	4.00 stars
3.50 stars	Blur - 13	4.00 stars
3.00 stars	Sigur Rós - Ágætis byrjun	4.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	4.00 stars
4.00 stars	Mr. Bungle - California	4.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	4.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
4.00 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	3.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.00 stars
3.50 stars	Electric Wizard - Dopethrone	4.50 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	4.00 stars
3.50 stars	Jan Jelinek - Loop-finding-jazz-records	4.00 stars
