rental	Album	psychovinyl
4.00 stars	Shellac - At Action Park	4.50 stars
3.00 stars	Slowdive - Pygmalion	4.00 stars
3.50 stars	Pavement - Wowee Zowee	4.50 stars
3.50 stars	Unwound - The Future of What	4.00 stars
3.50 stars	Fugazi - Red Medicine	4.50 stars
3.50 stars	Silkworm - Firewater	3.00 stars
3.00 stars	The Auteurs - After Murder Park	4.00 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	4.00 stars
3.50 stars	Guided by Voices - Under the Bushes Under the Stars	4.00 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	3.50 stars
3.50 stars	Unwound - Repetition	4.50 stars
3.00 stars	Fishmans - Long Season	3.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	5.00 stars
3.50 stars	Built to Spill - Perfect From Now On	4.00 stars
3.50 stars	Pavement - Brighten the Corners	4.00 stars
3.00 stars	Sleater-Kinney - Dig Me Out	3.50 stars
3.50 stars	Unwound - Challenge for a Civilized Society	4.00 stars
3.50 stars	Duster - Stratosphere	4.00 stars
4.50 stars	Royal Trux - Accelerator	4.00 stars
3.00 stars	Mercury Rev - Deserter's Songs	2.50 stars
4.00 stars	Black Tambourine - Complete Recordings	4.00 stars
3.50 stars	Pavement - Terror Twilight	4.00 stars
3.00 stars	Lambchop - Nixon	3.50 stars
3.00 stars	Clinic - Internal Wrangler	3.50 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	4.00 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	3.50 stars
3.50 stars	Fugazi - The Argument	4.00 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	3.50 stars
4.00 stars	Indian Summer - Science 1994	4.00 stars
4.50 stars	Xiu Xiu - Knife Play	4.00 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	2.50 stars
4.00 stars	Interpol - Turn On the Bright Lights	4.50 stars
4.50 stars	Xiu Xiu - A Promise	4.00 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.00 stars
4.00 stars	Deerhoof - Apple O'	3.50 stars
3.50 stars	Yeah Yeah Yeahs - Fever to Tell	3.50 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	4.00 stars
3.50 stars	Broadcast - Haha Sound	4.00 stars
3.50 stars	Liars - They Were Wrong, So We Drowned	4.00 stars
4.00 stars	Madvillain - Madvillainy	4.00 stars
4.00 stars	Reigning Sound - Too Much Guitar	3.50 stars
3.50 stars	Junior Boys - Last Exit	3.00 stars
4.00 stars	Animal Collective - Feels	3.50 stars
4.50 stars	Coil - The Ape of Naples	3.50 stars
5.00 stars	J Dilla - Donuts	4.00 stars
4.00 stars	John Maus - Songs	3.50 stars
3.00 stars	My Disco - Cancer	3.50 stars
3.50 stars	Deerhoof - Friend Opportunity	3.50 stars
4.00 stars	Animal Collective - Strawberry Jam	3.50 stars
4.00 stars	Burial - Untrue	4.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	3.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	4.00 stars
2.50 stars	The Antlers - Hospice	3.00 stars
3.50 stars	HEALTH - Get Color	3.50 stars
3.00 stars	Four Tet - There Is Love in You	3.50 stars
4.50 stars	Beach House - Teen Dream	3.50 stars
3.50 stars	Flying Lotus - Cosmogramma	3.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	3.50 stars
3.00 stars	OPN - Returnal	3.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.50 stars
5.00 stars	Women - Public Strain	4.50 stars
3.50 stars	Games - That We Can Play	3.50 stars
4.00 stars	The Soft Moon - The Soft Moon	4.00 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	4.50 stars
4.00 stars	Iceage - New Brigade	3.50 stars
3.50 stars	Destroyer - Kaputt	3.50 stars
4.00 stars	Death Grips - Exmilitary	4.00 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.00 stars
3.00 stars	Shabazz Palaces - Black Up	4.00 stars
4.00 stars	Danny Brown - XXX	4.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	3.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	3.50 stars
3.50 stars	Burial - Kindred EP	3.50 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
4.00 stars	Beach House - Bloom	3.50 stars
3.00 stars	Wild Nothing - Nocturne	3.50 stars
3.00 stars	Swans - The Seer	3.50 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.50 stars
4.00 stars	Mac DeMarco - 2	3.00 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	3.50 stars
4.00 stars	Lil Ugly Mane - Uneven Compromise	3.50 stars
3.50 stars	My Bloody Valentine - m b v	2.50 stars
4.00 stars	Iceage - You're Nothing	3.50 stars
3.00 stars	James Blake - Overgrown	3.00 stars
4.00 stars	Dean Blunt - The Redeemer	3.50 stars
4.00 stars	Deerhunter - Monomania	3.50 stars
3.00 stars	Run the Jewels - Run the Jewels	3.50 stars
4.00 stars	Fuck Buttons - Slow Focus	3.50 stars
3.50 stars	Julia Holter - Loud City Song	3.00 stars
3.50 stars	Forest Swords - Engravings	3.00 stars
3.50 stars	Oneohtrix Point Never - R Plus Seven	3.50 stars
3.50 stars	Darkside - Psychic	3.00 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	3.50 stars
3.50 stars	DJ Rashad - Double Cup	3.50 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	3.00 stars
4.00 stars	Mac DeMarco - Salad Days	3.00 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
3.00 stars	Ben Frost - A U R O R A	4.00 stars
3.50 stars	Sharon Van Etten - Are We There	3.50 stars
