rental	Album	buttguts
4.00 stars	Sonic Youth - Daydream Nation	4.00 stars
3.50 stars	Dinosaur Jr - Bug	4.00 stars
3.50 stars	Mudhoney - Superfuzz Bigmuff	4.00 stars
3.50 stars	Beat Happening - Black Candy	4.00 stars
4.00 stars	Fushitsusha - 1st	4.50 stars
4.50 stars	Minor Threat - Complete Discography	4.00 stars
4.50 stars	Pixies - Doolittle	3.50 stars
4.00 stars	NoMeansNo - Wrong	4.00 stars
3.50 stars	Godflesh - Streetcleaner	4.50 stars
3.00 stars	The Sundays - Reading, Writing and Arithmetic	2.50 stars
3.00 stars	The Chills - Submarine Bells	3.00 stars
3.00 stars	Ramleh - Grudge for Life	4.00 stars
4.00 stars	Sun City Girls - Torch of the Mystics	5.00 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
3.00 stars	Thee Headcoats - Heavens to Murgatroyd, Even! It's Thee Headcoats! (Already)	3.50 stars
3.50 stars	Ride - Nowhere	3.50 stars
3.50 stars	Drive Like Jehu - Drive Like Jehu	3.50 stars
4.00 stars	The Jesus Lizard - Goat	4.00 stars
5.00 stars	Slint - Spiderland	4.00 stars
3.00 stars	Armia - Legenda	3.50 stars
3.00 stars	Primus - Sailing the Seas of Cheese	4.00 stars
4.50 stars	Les Rallizes dénudés - '77 Live	4.50 stars
3.00 stars	Slowdive - Just for a Day	4.00 stars
3.50 stars	Nirvana - Nevermind	3.00 stars
3.50 stars	Tar - Jackson	4.00 stars
4.00 stars	Scratch Acid - The Greatest Gift	5.00 stars
3.50 stars	God - Possession	3.50 stars
4.00 stars	The Terminals - Touch	4.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.00 stars
4.00 stars	Cows - 'Cunning Stunts'	4.00 stars
3.00 stars	The Pharcyde - Bizarre Ride II the Pharcyde	3.50 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
3.00 stars	Fugazi - In on the Kill Taker	3.50 stars
3.00 stars	Eric's Trip - Love Tara	3.50 stars
4.00 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	4.50 stars
4.00 stars	Ata Kak - Obaa Sima	3.00 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	3.50 stars
3.50 stars	Unwound - New Plastic Ideas	4.00 stars
3.50 stars	Nas - Illmatic	4.00 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.50 stars
3.00 stars	Sunny Day Real Estate - Diary	3.50 stars
3.00 stars	Scorn - Evanescence	4.00 stars
3.00 stars	Lush - Split	3.50 stars
4.00 stars	Sebadoh - Bakesale	4.00 stars
4.00 stars	The Embarrassment - Heyday: 1979-1983	4.00 stars
4.00 stars	Flying Saucer Attack - Further	4.00 stars
3.50 stars	Unwound - The Future of What	4.00 stars
4.50 stars	Three-6 Mafia - Mystic Stylez	5.00 stars
3.50 stars	Fugazi - Red Medicine	3.50 stars
3.50 stars	Sonic Youth - Washing Machine	4.00 stars
3.50 stars	Mainliner - Mellow Out	4.50 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.00 stars
3.00 stars	Burzum - Filosofem	4.00 stars
3.50 stars	Sixteen Horsepower - Sackcloth 'n' Ashes	4.00 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	3.50 stars
3.50 stars	Unwound - Repetition	4.00 stars
3.50 stars	Swans - Soundtracks for the Blind	4.50 stars
3.50 stars	DJ Shadow - Endtroducing.....	2.50 stars
4.00 stars	Laddio Bolocko - Strange Warmings of Laddio Bolocko	4.00 stars
3.50 stars	Built to Spill - Perfect From Now On	2.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	3.50 stars
3.50 stars	lowercase - Kill the Lights	3.50 stars
3.00 stars	Björk - Homogenic	2.50 stars
4.00 stars	Eliane Radigue - Trilogie de la mort	4.00 stars
3.00 stars	Swans - Swans Are Dead	4.00 stars
3.50 stars	Tortoise - TNT	4.00 stars
2.50 stars	Bonnie 'Prince' Billy - I See a Darkness	2.00 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	5.00 stars
3.50 stars	Brainbombs - Urge to Kill	4.00 stars
4.00 stars	Black Tambourine - Complete Recordings	4.00 stars
3.00 stars	Sigur Rós - Ágætis byrjun	3.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	3.00 stars
3.00 stars	The Get Up Kids - Something to Write Home About	3.50 stars
3.00 stars	Clinic - Internal Wrangler	3.50 stars
3.00 stars	Eminem - The Marshall Mathers LP	4.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	3.00 stars
3.50 stars	Electric Wizard - Dopethrone	4.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	4.00 stars
3.00 stars	Björk - Vespertine	2.50 stars
3.00 stars	Aesop Rock - Labor Days	3.00 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	3.00 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	2.50 stars
3.00 stars	Sonic Youth - Murray Street	3.50 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	3.50 stars
4.00 stars	Theoretical Girls - Theoretical Girls	4.00 stars
4.00 stars	Supersilent - 6	3.50 stars
4.50 stars	Xiu Xiu - A Promise	4.50 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	4.00 stars
4.00 stars	Deerhoof - Apple O'	3.00 stars
3.50 stars	Boris - あくまのうた (Akuma no Uta)	4.50 stars
3.50 stars	Broadcast - Haha Sound	2.50 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	4.00 stars
3.00 stars	Hella - The Devil Isn't Red	3.50 stars
4.00 stars	Madvillain - Madvillainy	5.00 stars
3.50 stars	Animal Collective - Sung Tongs	2.50 stars
3.50 stars	Mastodon - Leviathan	3.00 stars
