rental	Album	rmedw1044
3.50 stars	The Smiths - Meat Is Murder	3.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.00 stars
3.50 stars	Hüsker Dü - Flip Your Wig	3.00 stars
4.00 stars	The Fall - This Nation's Saving Grace	3.50 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	4.00 stars
4.00 stars	Big Black - Atomizer	3.00 stars
4.00 stars	CCCP Fedeli alla Linea - Affinità-divergenze fra il compagno Togliatti e noi: Del conseguimento della maggiore età	3.00 stars
3.00 stars	Scientists - Weird Love	3.50 stars
3.50 stars	Sonic Youth - EVOL	4.00 stars
3.50 stars	The Fall - Bend Sinister	3.00 stars
3.50 stars	Slayer - Reign in Blood	3.00 stars
3.50 stars	XTC - Skylarking	4.00 stars
4.50 stars	Dinosaur - You're Living All Over Me	3.50 stars
3.50 stars	Big Black - Songs About Fucking	3.00 stars
3.50 stars	Pixies - Surfer Rosa	3.50 stars
3.50 stars	Cocteau Twins - Blue Bell Knoll	3.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.00 stars
3.50 stars	Dinosaur Jr - Bug	3.00 stars
3.50 stars	My Bloody Valentine - Isn't Anything	3.50 stars
4.00 stars	Fushitsusha - 1st	4.00 stars
4.50 stars	Minor Threat - Complete Discography	3.50 stars
4.50 stars	Pixies - Doolittle	3.50 stars
3.50 stars	The Cure - Disintegration	3.50 stars
4.00 stars	NoMeansNo - Wrong	3.50 stars
3.50 stars	Godflesh - Streetcleaner	3.50 stars
3.50 stars	The Dead C - Trapdoor Fucking Exit	3.50 stars
3.50 stars	Sonic Youth - Goo	3.50 stars
3.50 stars	Ride - Nowhere	3.50 stars
4.00 stars	The Jesus Lizard - Goat	3.50 stars
5.00 stars	Slint - Spiderland	4.00 stars
3.50 stars	The Ex + Tom Cora - Scrabbling at the Lock	3.50 stars
4.50 stars	Les Rallizes dénudés - '77 Live	4.50 stars
3.00 stars	Slowdive - Just for a Day	3.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.00 stars
4.00 stars	Scratch Acid - The Greatest Gift	3.50 stars
4.00 stars	Talk Talk - Laughing Stock	3.50 stars
3.50 stars	Unsane - Unsane	3.50 stars
3.50 stars	London Sinfonietta / David Zinman / Dawn Upshaw - Symphony No. 3	4.00 stars
3.00 stars	The Nation of Ulysses - Plays Pretty for Baby	4.00 stars
3.00 stars	The Pharcyde - Bizarre Ride II the Pharcyde	3.50 stars
3.50 stars	Swirlies - Blonder Tongue Audio Baton	3.50 stars
3.50 stars	Slowdive - Souvlaki	3.50 stars
4.50 stars	Yo La Tengo - Painful	3.50 stars
4.00 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	4.50 stars
3.00 stars	Autechre - Incunabula	4.00 stars
4.00 stars	Low - I Could Live in Hope	3.50 stars
3.50 stars	Unwound - New Plastic Ideas	3.50 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	3.00 stars
3.50 stars	Nas - Illmatic	4.00 stars
3.00 stars	Sunny Day Real Estate - Diary	3.00 stars
3.50 stars	Portishead - Dummy	3.00 stars
4.00 stars	Shellac - At Action Park	3.50 stars
3.50 stars	Autechre - Amber	4.00 stars
3.50 stars	Death - Symbolic	3.50 stars
3.50 stars	Sonic Youth - Washing Machine	3.50 stars
3.00 stars	Burzum - Filosofem	3.00 stars
3.50 stars	Unwound - Repetition	3.50 stars
3.50 stars	Swans - Soundtracks for the Blind	3.50 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	3.00 stars
3.50 stars	Built to Spill - Perfect From Now On	3.00 stars
3.00 stars	Elliott Smith - Either / Or	3.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	3.50 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	3.50 stars
3.00 stars	µ-Ziq - Lunatic Harness	3.00 stars
3.50 stars	Takács Quartet - The 6 String Quartets	4.00 stars
4.00 stars	Eliane Radigue - Trilogie de la mort	3.50 stars
3.50 stars	Unwound - Challenge for a Civilized Society	3.50 stars
3.00 stars	Swans - Swans Are Dead	4.00 stars
3.50 stars	GAS - Zauberberg	4.00 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	3.50 stars
3.00 stars	Royal Concertgebouw Orchestra / Asko Ensemble / Riccardo Chailly - The Complete Works	4.00 stars
3.50 stars	GAS - Königsforst	4.00 stars
3.00 stars	Sigur Rós - Ágætis byrjun	3.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	3.50 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	3.50 stars
3.00 stars	Eminem - The Marshall Mathers LP	3.00 stars
3.50 stars	Luomo - Vocalcity	3.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	3.00 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	3.50 stars
3.50 stars	Electric Wizard - Dopethrone	3.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	4.00 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	3.50 stars
3.00 stars	pageninetynine - Document #8	3.50 stars
3.00 stars	maudlin of the Well - Bath	3.50 stars
4.00 stars	Converge - Jane Doe	4.00 stars
3.00 stars	Aesop Rock - Labor Days	3.50 stars
3.50 stars	Fugazi - The Argument	3.00 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	3.50 stars
3.00 stars	Michael Mayer - Immer	3.50 stars
3.00 stars	Sonic Youth - Murray Street	3.00 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	3.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	3.00 stars
3.00 stars	The Dillinger Escape Plan with Mike Patton - Irony Is a Dead Scene	3.00 stars
4.00 stars	Broken Social Scene - You Forgot It in People	3.00 stars
3.00 stars	Sigur Rós - ( )	3.00 stars
4.00 stars	Supersilent - 6	3.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	3.50 stars
3.00 stars	Cursive - The Ugly Organ	2.50 stars
3.00 stars	Sleep - Dopesmoker	3.50 stars
4.00 stars	Four Tet - Rounds	3.50 stars
3.50 stars	Boris - あくまのうた (Akuma no Uta)	3.50 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	4.00 stars
2.50 stars	Sachiko M, Toshimaru Nakamura & Otomo Yoshihide - Good Morning Good Night	2.50 stars
3.00 stars	Max Richter - The Blue Notebooks	2.50 stars
3.50 stars	Liars - They Were Wrong, So We Drowned	3.50 stars
4.00 stars	Madvillain - Madvillainy	5.00 stars
3.50 stars	Animal Collective - Sung Tongs	3.00 stars
3.50 stars	Zelienople - Sleeper Coach	4.00 stars
3.50 stars	Sightings - Arrived in Gold	4.00 stars
2.50 stars	Bloc Party - Silent Alarm	2.50 stars
4.00 stars	Sufjan Stevens - Illinois	3.00 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	3.50 stars
4.00 stars	Animal Collective - Feels	3.50 stars
4.00 stars	Boris - Pink	3.50 stars
3.50 stars	Ryoji Ikeda - dataplex	3.00 stars
4.50 stars	Coil - The Ape of Naples	3.50 stars
5.00 stars	J Dilla - Donuts	4.00 stars
3.50 stars	Belong - October Language	3.50 stars
4.00 stars	The Goslings - Grandeur of Hair	4.00 stars
