rental	Album	tmonk11
4.00 stars	Cows - 'Cunning Stunts'	4.50 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.50 stars
4.00 stars	The Jesus Lizard - Liar	5.00 stars
3.50 stars	Harry Pussy - Harry Pussy	4.50 stars
4.50 stars	Yo La Tengo - Painful	5.00 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	5.00 stars
3.50 stars	Low - I Could Live in Hope	4.50 stars
3.50 stars	Unwound - New Plastic Ideas	4.50 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.50 stars
3.50 stars	Weezer - Weezer [Blue Album]	4.50 stars
4.50 stars	Guided by Voices - Bee Thousand	5.00 stars
3.50 stars	Portishead - Dummy	4.50 stars
4.00 stars	Sebadoh - Bakesale	4.50 stars
3.50 stars	Autechre - Amber	4.50 stars
3.50 stars	Prolapse - Pointless Walks to Dismal Places	4.50 stars
4.00 stars	Oval - 94 Diskont	4.50 stars
3.50 stars	Fugazi - Red Medicine	4.50 stars
3.50 stars	Sonic Youth - Washing Machine	4.50 stars
3.50 stars	Autechre - Tri repetae	4.50 stars
3.50 stars	Mainliner - Mellow Out	4.50 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	4.50 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	4.50 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	5.00 stars
3.50 stars	Unwound - Repetition	4.50 stars
3.50 stars	Belle and Sebastian - Tigermilk	4.50 stars
3.50 stars	Gastr del Sol - Upgrade & Afterlife	4.50 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	5.00 stars
4.00 stars	Weezer - Pinkerton	4.50 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.50 stars
3.50 stars	Built to Spill - Perfect From Now On	4.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.50 stars
4.00 stars	Godspeed You Black Emperor! - F♯A♯∞	4.50 stars
3.50 stars	GAS - Zauberberg	4.50 stars
3.50 stars	Gastr del Sol - Camoufleur	4.50 stars
4.00 stars	Tortoise - TNT	4.50 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	5.00 stars
4.50 stars	Royal Trux - Accelerator	4.50 stars
3.50 stars	GAS - Königsforst	4.50 stars
3.50 stars	Blur - 13	4.50 stars
4.00 stars	Black Tambourine - Complete Recordings	5.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	4.50 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	4.50 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	5.00 stars
3.50 stars	Modest Mouse - Building Nothing Out of Something	4.50 stars
4.00 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	5.00 stars
3.50 stars	Queens of the Stone Age - Rated R	4.50 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
5.00 stars	Life Without Buildings - Any Other City	5.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
3.50 stars	Ted Leo / Pharmacists - The Tyranny of Distance	4.50 stars
4.50 stars	Fennesz - Endless Summer	4.50 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	4.50 stars
3.50 stars	Jim O'Rourke - I'm Happy, and I'm Singing, and a 1, 2, 3, 4	4.50 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.50 stars
4.00 stars	The Books - Thought for Food	4.50 stars
3.50 stars	The Mountain Goats - Tallahassee	4.50 stars
3.50 stars	The Microphones - Mount Eerie	4.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.50 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	5.00 stars
3.50 stars	Four Tet - Rounds	4.50 stars
3.50 stars	The Fiery Furnaces - Gallowsbird's Bark	4.50 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	4.50 stars
3.50 stars	Liars - They Were Wrong, So We Drowned	4.50 stars
4.50 stars	Madvillain - Madvillainy	5.00 stars
4.00 stars	Reigning Sound - Too Much Guitar	5.00 stars
3.50 stars	The Fiery Furnaces - Blueberry Boat	4.50 stars
4.50 stars	Deerhoof - The Runners Four	4.50 stars
5.00 stars	J Dilla - Donuts	5.00 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	4.50 stars
3.50 stars	Jens Lekman - Night Falls Over Kortedala	4.50 stars
4.00 stars	Animal Collective - Strawberry Jam	4.50 stars
4.00 stars	Radiohead - In Rainbows	5.00 stars
4.00 stars	Burial - Untrue	4.50 stars
3.50 stars	Cheap Time - Cheap Time	4.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.50 stars
3.50 stars	Death - ...For the Whole World to See	4.50 stars
4.00 stars	Thee Oh Sees - Help	4.50 stars
4.50 stars	Beach House - Teen Dream	4.50 stars
3.50 stars	Flying Lotus - Cosmogramma	4.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.50 stars
5.00 stars	Women - Public Strain	4.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	4.50 stars
4.50 stars	The Men - Leave Home	4.50 stars
4.00 stars	Danny Brown - XXX	4.50 stars
4.00 stars	Car Seat Headrest - Twin Fantasy	4.50 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	5.00 stars
3.50 stars	Waxahatchee - American Weekend	4.50 stars
4.00 stars	The Men - Open Your Heart	4.50 stars
4.00 stars	Beach House - Bloom	4.50 stars
5.00 stars	Parquet Courts - Light Up Gold	4.50 stars
4.00 stars	Tame Impala - Lonerism	4.50 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.50 stars
3.50 stars	My Bloody Valentine - m b v	4.50 stars
3.50 stars	The Men - New Moon	4.50 stars
3.50 stars	Julia Holter - Loud City Song	4.50 stars
4.00 stars	Oneohtrix Point Never - R Plus Seven	4.50 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	4.50 stars
3.50 stars	DJ Rashad - Double Cup	4.50 stars
4.00 stars	The Men - Tomorrow's Hits	4.50 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	5.00 stars
3.50 stars	Parquet Courts - Sunbathing Animal	4.50 stars
4.00 stars	Total Control - Typical System	4.50 stars
3.50 stars	Iceage - Plowing Into the Field of Love	4.50 stars
4.00 stars	Mitski - Bury Me at Makeout Creek	4.50 stars
3.50 stars	Twerps - Range Anxiety	4.50 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	5.00 stars
3.50 stars	Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	4.50 stars
