rental	Album	Convalescence
3.00 stars	Smashing Pumpkins - Siamese Dream	3.50 stars
4.50 stars	Yo La Tengo - Painful	4.00 stars
3.00 stars	Eric's Trip - Love Tara	3.00 stars
4.00 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	4.50 stars
3.00 stars	Autechre - Incunabula	4.00 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	3.50 stars
4.00 stars	Low - I Could Live in Hope	3.50 stars
4.00 stars	Disco Inferno - D. I. Go Pop	3.50 stars
3.50 stars	Unwound - New Plastic Ideas	3.50 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.00 stars
3.50 stars	Nas - Illmatic	4.50 stars
3.00 stars	Sunny Day Real Estate - Diary	3.00 stars
3.50 stars	Weezer - Weezer [Blue Album]	3.50 stars
3.00 stars	Lush - Split	3.00 stars
5.00 stars	Guided by Voices - Bee Thousand	4.00 stars
3.50 stars	Portishead - Dummy	4.50 stars
3.50 stars	Autechre - Amber	4.00 stars
3.50 stars	Pavement - Wowee Zowee	3.50 stars
3.50 stars	Sonic Youth - Washing Machine	3.00 stars
3.50 stars	Autechre - Tri repetae	4.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	3.50 stars
3.00 stars	Burzum - Filosofem	3.50 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	4.50 stars
3.50 stars	Unwound - Repetition	3.50 stars
3.00 stars	Beck - Odelay	3.50 stars
4.00 stars	Weezer - Pinkerton	3.00 stars
3.50 stars	Swans - Soundtracks for the Blind	4.00 stars
3.00 stars	Fishmans - Long Season	3.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.50 stars
3.50 stars	Built to Spill - Perfect From Now On	4.00 stars
3.50 stars	Pavement - Brighten the Corners	3.50 stars
3.00 stars	Sleater-Kinney - Dig Me Out	3.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.50 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.00 stars
4.00 stars	Eliane Radigue - Trilogie de la mort	4.50 stars
3.00 stars	Swans - Swans Are Dead	3.50 stars
3.00 stars	AIR - Moon Safari	2.50 stars
3.50 stars	GAS - Zauberberg	4.50 stars
3.00 stars	Gorguts - Obscura	2.50 stars
2.50 stars	Bonnie 'Prince' Billy - I See a Darkness	3.50 stars
3.00 stars	Smog - Knock Knock	4.00 stars
3.00 stars	Built to Spill - Keep It Like a Secret	3.00 stars
3.50 stars	Pavement - Terror Twilight	3.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	3.50 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	4.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	3.00 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	3.50 stars
3.00 stars	Lambchop - Nixon	3.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.50 stars
3.00 stars	Eminem - The Marshall Mathers LP	3.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	4.50 stars
3.50 stars	The Clientele - Suburban Light	3.50 stars
3.50 stars	Jan Jelinek - Loop-finding-jazz-records	4.00 stars
5.00 stars	Life Without Buildings - Any Other City	4.00 stars
4.00 stars	múm - Yesterday Was Dramatic - Today Is OK	4.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	5.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	4.00 stars
3.00 stars	pageninetynine - Document #8	4.00 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	4.00 stars
4.00 stars	Converge - Jane Doe	4.00 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	3.00 stars
3.50 stars	Hood - Cold House	3.50 stars
3.50 stars	Jim O'Rourke - Insignificance	4.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	4.00 stars
3.50 stars	Jim O'Rourke - I'm Happy, and I'm Singing, and a 1, 2, 3, 4	3.50 stars
4.50 stars	Xiu Xiu - Knife Play	3.50 stars
3.00 stars	Michael Mayer - Immer	3.50 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.50 stars
4.00 stars	The Books - Thought for Food	4.50 stars
3.00 stars	Sonic Youth - Murray Street	4.00 stars
3.50 stars	Spoon - Kill the Moonlight	3.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	4.50 stars
4.00 stars	the Mountain Goats - Tallahassee	4.50 stars
3.50 stars	The Necks - Drive By	3.50 stars
4.00 stars	Supersilent - 6	4.00 stars
3.50 stars	The Microphones - Mount Eerie	4.50 stars
4.50 stars	Xiu Xiu - A Promise	5.00 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.00 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	4.00 stars
4.00 stars	Deerhoof - Apple O'	3.50 stars
3.00 stars	Manitoba - Up in Flames	4.00 stars
4.00 stars	Four Tet - Rounds	3.50 stars
3.50 stars	Broadcast - Haha Sound	3.50 stars
4.00 stars	The Fiery Furnaces - Gallowsbird's Bark	3.00 stars
3.00 stars	Gridlock - Formless	3.00 stars
3.50 stars	Rocky Dennis - Maple Leaves	4.00 stars
