rental	Album	nervousb
3.00 stars	Fever Ray - Fever Ray	4.00 stars
3.50 stars	Dan Deacon - Bromst	4.00 stars
3.50 stars	Burial + Four Tet - Moth / Wolf Cub	4.00 stars
3.50 stars	HEALTH - Get Color	3.00 stars
4.00 stars	Factums - Flowers	3.50 stars
3.00 stars	Christmas Island - Blackout Summer	3.50 stars
4.00 stars	The Flaming Lips - Embryonic	4.00 stars
3.00 stars	Vampire Weekend - Contra	3.50 stars
3.00 stars	Four Tet - There Is Love in You	4.00 stars
4.50 stars	Beach House - Teen Dream	4.50 stars
3.50 stars	Gonjasufi - A Sufi and a Killer	3.00 stars
3.50 stars	Sun Araw - On Patrol	3.00 stars
3.50 stars	Total Abuse - Mutt	4.00 stars
3.50 stars	Flying Lotus - Cosmogramma	4.00 stars
3.50 stars	Ceremony - Rohnert Park	4.00 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.00 stars
4.50 stars	Deerhunter - Halcyon Digest	4.50 stars
5.00 stars	Women - Public Strain	4.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	4.50 stars
4.00 stars	Iceage - New Brigade	4.00 stars
3.50 stars	Destroyer - Kaputt	4.00 stars
3.50 stars	Yuck - Yuck	3.00 stars
5.00 stars	Connan Mockasin - Forever Dolphin Love	4.00 stars
4.00 stars	The Men - Leave Home	3.50 stars
3.00 stars	Woods - Sun and Shade	2.50 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.00 stars
3.50 stars	Real Estate - Days	4.00 stars
4.50 stars	The Men - Open Your Heart	4.00 stars
4.00 stars	Julia Holter - Ekstasis	3.50 stars
3.50 stars	Death Grips - The Money Store	3.00 stars
4.00 stars	Beach House - Bloom	4.00 stars
3.50 stars	Micachu and the Shapes - Never	3.50 stars
5.00 stars	Parquet Courts - Light Up Gold	4.50 stars
3.00 stars	Wild Nothing - Nocturne	4.00 stars
3.00 stars	Swans - The Seer	4.00 stars
4.00 stars	Grizzly Bear - Shields	4.00 stars
3.50 stars	METZ - METZ	3.50 stars
4.00 stars	Mac DeMarco - 2	3.50 stars
3.50 stars	Cold Pumas - Persistent Malaise	3.50 stars
3.00 stars	FIDLAR - FIDLAR	3.00 stars
3.50 stars	My Bloody Valentine - m b v	3.50 stars
4.00 stars	Iceage - You're Nothing	4.00 stars
3.50 stars	Hookworms - Pearl Mystic	3.50 stars
3.50 stars	The Men - New Moon	3.50 stars
4.00 stars	Parquet Courts - Borrowed Time	4.00 stars
4.00 stars	Deerhunter - Monomania	4.00 stars
4.00 stars	Vampire Weekend - Modern Vampires of the City	3.50 stars
3.50 stars	Julia Holter - Loud City Song	4.00 stars
3.50 stars	Forest Swords - Engravings	3.50 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	3.50 stars
3.50 stars	Beth Israel - Dental Denial	3.50 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	3.50 stars
4.00 stars	Mac DeMarco - Salad Days	3.50 stars
4.00 stars	Ought - More Than Any Other Day	4.00 stars
3.50 stars	Parquet Courts - Sunbathing Animal	4.00 stars
4.50 stars	Total Control - Typical System	3.50 stars
2.50 stars	Ty Segall - Manipulator	3.50 stars
4.00 stars	Iceage - Plowing Into the Field of Love	4.50 stars
3.50 stars	Ought - Once More With Feeling	3.00 stars
4.00 stars	Dean Blunt - Black Metal	4.00 stars
4.00 stars	Parkay Quarts - Content Nausea	3.50 stars
3.50 stars	Twerps - Range Anxiety	3.50 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	4.00 stars
3.50 stars	G.L.O.S.S. - Girls Living Outside Society's Shit	4.00 stars
3.50 stars	Dick Diver - Melbourne, Florida	3.50 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
3.50 stars	Dawn of Humans - Slurping at the Cosmos Spine	4.00 stars
4.00 stars	Lower Dens - Escape From Evil	3.00 stars
