rental	Album	aokiji
4.00 stars	Nice Face - Immer Etwas	4.50 stars
4.00 stars	No Sister - No Sister	4.00 stars
3.50 stars	Nothing People - Soft Crash	4.00 stars
3.50 stars	Obnox - Louder Space	4.50 stars
4.00 stars	of Montreal - Hissing Fauna, Are You the Destroyer?	4.50 stars
3.50 stars	The Olivia Tremor Control - Music From the Unrealized Film Script, Dusk at Cubist Castle	4.50 stars
3.00 stars	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	4.00 stars
4.00 stars	Pere Ubu - The Modern Dance	4.50 stars
3.50 stars	Perverts Again - My Accident	4.50 stars
4.50 stars	Perverts Again - Friday Night Light	4.00 stars
3.50 stars	Pious Faults - Old Thread	4.50 stars
4.00 stars	Pissed Jeans - King of Jeans	4.00 stars
4.00 stars	Viet Cong - Viet Cong	3.00 stars
3.50 stars	Protomartyr - Under Color of Official Right	3.50 stars
3.50 stars	Pylon - Gyrate	3.50 stars
3.00 stars	Raccoo-oo-oon - Behold Secret Kingdom	4.00 stars
4.00 stars	Radiohead - OK Computer	4.00 stars
4.00 stars	Radiohead - Kid A	4.50 stars
3.50 stars	The Raincoats - The Raincoats	4.00 stars
4.00 stars	Ramones - Ramones	5.00 stars
3.50 stars	Rapeman - Two Nuns and a Pack Mule	4.50 stars
3.50 stars	R.E.M. - Reckoning	4.50 stars
3.50 stars	R.E.M. - Lifes Rich Pageant	4.50 stars
4.00 stars	Royal Headache - Royal Headache	4.50 stars
3.50 stars	Royal Headache - High	4.50 stars
4.00 stars	Sex Church - Growing Over	4.00 stars
3.50 stars	Shellac - 1000 Hurts	4.00 stars
3.00 stars	Slug Guts - Playin’ In Time with the Deadbeat	4.00 stars
3.50 stars	The Smiths - Hatful of Hollow	4.50 stars
4.00 stars	The Smiths - The Queen Is Dead	5.00 stars
3.00 stars	Sonic Chicken 4 - Sonic Chicken 4	4.00 stars
3.50 stars	Spray Paint - Dopers	3.50 stars
3.50 stars	The Stevens - A History of Hygiene	4.00 stars
3.50 stars	Studio - West Coast	4.00 stars
4.00 stars	Sun City Girls - 330,003 Crossdressers From Beyond the Rig Veda	4.00 stars
4.00 stars	Swell Maps - A Trip to Marineville	4.50 stars
4.00 stars	Swell Maps - ...In "Jane From Occupied Europe"	4.00 stars
3.50 stars	Taco Leg - Taco Leg	4.50 stars
4.00 stars	Talking Heads - The Name of This Band Is Talking Heads	5.00 stars
3.50 stars	Terry - Terry HQ	3.50 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	4.00 stars
3.00 stars	Times New Viking - Present the Paisley Reich	3.50 stars
4.50 stars	Total Control - Henge Beat	4.50 stars
3.50 stars	T.S.O.L. - Dance With Me	4.50 stars
3.50 stars	TV on the Radio - Return to Cookie Mountain	4.50 stars
3.50 stars	Twerps - The Twerps	4.50 stars
4.50 stars	Twerps - The Twerps	4.00 stars
4.00 stars	Tyvek - Fast Metabolism	4.50 stars
4.00 stars	Tyvek - Tyvek	3.50 stars
4.00 stars	Tyvek - Nothing Fits	4.50 stars
4.00 stars	Tyvek - On Triple Beams	3.50 stars
4.00 stars	The Urinals - Negative Capability... Check It Out!	4.50 stars
3.50 stars	Urochromes - Trope House	4.00 stars
3.50 stars	The UV Race - Homo	4.50 stars
4.00 stars	The Velvet Underground - White Light / White Heat	5.00 stars
3.50 stars	Tom Waits - Bone Machine	4.50 stars
4.50 stars	WHY? - Alopecia	4.00 stars
4.00 stars	Wiccans - Skullduggery	4.50 stars
4.50 stars	Women - Women	3.50 stars
3.00 stars	Woollen Kits - Woollen Kits	4.00 stars
3.00 stars	Yeasayer - Odd Blood	3.00 stars
4.00 stars	Yo La Tengo - I Am Not Afraid of You and I Will Beat Your Ass	4.00 stars
rental and aokiji disagree: (58)
rental	Album	aokiji
3.00 stars	Bitch Prefect - Big Time	4.50 stars
3.00 stars	Boredoms - Super æ	4.50 stars
3.50 stars	David Bowie - Station to Station	5.00 stars
3.00 stars	Children's Hospital - Alone Together	4.50 stars
3.50 stars	Deaf Wish - Reality & Visions	5.00 stars
3.50 stars	Flipper - Album: Generic Flipper	5.00 stars
3.00 stars	Gentleman Jesse and His Men - Leaving Atlanta	4.50 stars
2.50 stars	Household - Items	4.00 stars
3.50 stars	Joy Division - Closer	5.00 stars
3.00 stars	Mayyors - Deads EP	4.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	5.00 stars
3.50 stars	Little Richard - Here's Little Richard	5.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	5.00 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	5.00 stars
3.50 stars	The Stooges - Fun House	5.00 stars
3.50 stars	T. Rex - Electric Warrior	5.00 stars
3.00 stars	T. Rex - The Slider	5.00 stars
3.50 stars	Neil Young - On the Beach	5.00 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	5.00 stars
3.00 stars	Elvis Costello - This Year's Model	5.00 stars
3.50 stars	Joy Division - Unknown Pleasures	5.00 stars
3.50 stars	Talking Heads - Fear of Music	5.00 stars
3.50 stars	Buzzcocks - Singles Going Steady	5.00 stars
3.50 stars	The Feelies - Crazy Rhythms	5.00 stars
3.00 stars	Prince - Dirty Mind	4.50 stars
3.00 stars	The Flesh Eaters - A Minute to Pray, a Second to Die	4.50 stars
3.00 stars	The Replacements - Sorry Ma, Forgot to Take Out the Trash	4.50 stars
3.00 stars	New Order - Power, Corruption & Lies	4.50 stars
3.50 stars	Butthole Surfers - Butthole Surfers	5.00 stars
3.00 stars	Flipper - Gone Fishin'	5.00 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	5.00 stars
3.50 stars	Sonic Youth - EVOL	5.00 stars
3.50 stars	Pixies - Surfer Rosa	5.00 stars
2.50 stars	The Stone Roses - The Stone Roses	4.50 stars
3.00 stars	Superchunk - On the Mouth	4.50 stars
3.00 stars	Fugazi - In on the Kill Taker	4.50 stars
3.00 stars	Smashing Pumpkins - Siamese Dream	5.00 stars
3.50 stars	Pavement - Wowee Zowee	5.00 stars
3.00 stars	Sleater-Kinney - Dig Me Out	4.50 stars
3.00 stars	Built to Spill - Keep It Like a Secret	4.50 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	5.00 stars
3.50 stars	The Microphones - Mount Eerie	5.00 stars
4.50 stars	Ariel Pink's Haunted Graffiti - The Doldrums	3.00 stars
2.50 stars	Bloc Party - Silent Alarm	4.00 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	4.50 stars
2.50 stars	Cut Copy - In Ghost Colours	4.50 stars
4.50 stars	Deerhunter - Halcyon Digest	3.00 stars
4.00 stars	Joanna Newsom - Ys	2.50 stars
5.00 stars	Parquet Courts - Human Performance	3.50 stars
4.50 stars	Patois Counselors - Proper Release	3.00 stars
3.50 stars	Jay Reatard - Blood Visions	5.00 stars
4.50 stars	Smith Westerns - Dye It Blonde	2.50 stars
3.50 stars	The Sonic Youth - Sister	5.00 stars
3.50 stars	Talking Heads - Remain in Light	5.00 stars
4.50 stars	Total Control - Laughing at the System	3.00 stars
3.00 stars	The UV Race - Racism	4.50 stars
3.00 stars	The Velvet Underground - Loaded	4.50 stars
