rental	Album	0lik
3.00 stars	Smith Westerns - Soft Will	3.50 stars
3.50 stars	The Sonic Youth - Sister	4.00 stars
3.50 stars	Sonic Youth - Dirty	3.50 stars
3.50 stars	Stereolab - Mars Audiac Quintet	3.50 stars
3.50 stars	Andy Stott - Faith in Strangers	3.00 stars
3.50 stars	Studio - West Coast	3.00 stars
3.50 stars	Suede - Dog Man Star	3.50 stars
2.50 stars	Sun Kil Moon - Benji	3.50 stars
4.00 stars	Swell Maps - A Trip to Marineville	3.50 stars
4.00 stars	Swell Maps - ...In "Jane From Occupied Europe"	4.00 stars
4.00 stars	Thinking Fellers Union Local 282 - Strangers From the Universe	4.00 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	4.00 stars
3.50 stars	Ulrika Spacek - The Album Paranoia	3.50 stars
3.50 stars	Unknown Mortal Orchestra - II	3.00 stars
3.50 stars	Unknown Mortal Orchestra - Multi-Love	3.00 stars
4.00 stars	Various Artists - No New York	4.00 stars
4.00 stars	The Velvet Underground - White Light / White Heat	5.00 stars
3.00 stars	The Velvet Underground - Loaded	4.00 stars
4.00 stars	Wand - Golem	3.50 stars
3.50 stars	White Lung - It's the Evil	3.50 stars
3.50 stars	Whitney - Light Upon the Lake	3.00 stars
4.00 stars	Wipers - Youth of America	3.50 stars
2.50 stars	Youth Lagoon - The Year of Hibernation	3.50 stars
rental and 0lik disagree: (33)
rental	Album	0lik
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	5.00 stars
4.50 stars	Lower Dens - Twin-Hand Movement	3.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	5.00 stars
3.50 stars	Miles Davis - Bitches Brew	5.00 stars
3.50 stars	Kraftwerk - Trans Europa Express	5.00 stars
3.50 stars	Joy Division - Unknown Pleasures	5.00 stars
3.50 stars	Sonic Youth - EVOL	5.00 stars
2.50 stars	The Stone Roses - The Stone Roses	5.00 stars
3.50 stars	Slowdive - Souvlaki	5.00 stars
3.50 stars	Nas - Illmatic	5.00 stars
5.00 stars	Guided by Voices - Bee Thousand	2.50 stars
3.00 stars	Fishmans - Long Season	5.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	5.00 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	5.00 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	5.00 stars
4.50 stars	Royal Trux - Accelerator	3.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	5.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	4.50 stars
2.50 stars	The Antlers - Hospice	4.00 stars
3.50 stars	Flying Lotus - Cosmogramma	5.00 stars
5.00 stars	Women - Public Strain	3.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	5.00 stars
3.50 stars	SBTRKT - SBTRKT	2.00 stars
5.00 stars	Parquet Courts - Light Up Gold	3.50 stars
4.00 stars	Teen Suicide - I Will Be My Own Hell Because There Is a Devil Inside My Body	2.00 stars
4.00 stars	Dean Blunt - The Redeemer	2.50 stars
5.00 stars	Holden - The Inheritors	3.50 stars
2.00 stars	Swans - The Glowing Man	3.50 stars
5.00 stars	Frank Ocean - Blonde	3.50 stars
5.00 stars	Brockhampton - Saturation II	3.50 stars
3.00 stars	The Spirit of the Beehive - Hypnic Jerks	4.50 stars
3.50 stars	Talking Heads - Remain in Light	5.00 stars
4.50 stars	Total Control - Henge Beat	3.00 stars
