rental	Album	Fietspomp
3.50 stars	Gang of Four - Solid Gold	4.00 stars
3.50 stars	The Cure - Faith	4.00 stars
3.00 stars	Kraftwerk - Computerwelt	3.50 stars
3.50 stars	Au Pairs - Playing With a Different Sex	3.50 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	4.50 stars
3.50 stars	Section 25 - Always Now	3.50 stars
3.00 stars	The Replacements - Sorry Ma, Forgot to Take Out the Trash	3.50 stars
4.00 stars	The Gun Club - Fire of Love	3.00 stars
4.00 stars	This Heat - Deceit	4.00 stars
3.50 stars	Rip Rig + Panic - God	2.50 stars
3.50 stars	Einstürzende Neubauten - Kollaps	3.50 stars
4.00 stars	Glenn Branca - The Ascension	4.00 stars
3.00 stars	Orchestral Manœuvres in the Dark - Architecture & Morality	3.00 stars
3.50 stars	Soft Cell - Non-Stop Erotic Cabaret	3.50 stars
3.00 stars	23 Skidoo - Seven Songs	4.00 stars
3.50 stars	Felt - Crumbling the Antiseptic Beauty	3.00 stars
4.50 stars	The Fall - Hex Enduction Hour	5.00 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	4.00 stars
3.50 stars	Savage Republic - Tragic Figures	4.00 stars
4.00 stars	The Gun Club - Miami	3.50 stars
4.50 stars	Mission of Burma - Vs.	4.50 stars
4.00 stars	The Dream Syndicate - The Days of Wine and Roses	4.50 stars
3.50 stars	Dead Kennedys - Plastic Surgery Disasters	4.00 stars
3.00 stars	Michael Jackson - Thriller	2.00 stars
4.00 stars	Psychic TV - Force the Hand of Chance	3.50 stars
5.00 stars	Wipers - Over the Edge	4.00 stars
2.50 stars	U2 - War	3.00 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	3.50 stars
3.50 stars	Violent Femmes - Violent Femmes	3.50 stars
3.50 stars	R.E.M. - Murmur	3.50 stars
3.00 stars	New Order - Power, Corruption & Lies	3.50 stars
3.50 stars	Butthole Surfers - Butthole Surfers	3.50 stars
3.50 stars	The Chameleons - Script of the Bridge	4.50 stars
3.50 stars	The The - Soul Mining	3.50 stars
3.50 stars	Butthole Surfers - Psychic...Powerless...Another Man's Sac	3.50 stars
3.50 stars	Saccharine Trust - Surviving You, Always	3.50 stars
3.50 stars	Manuel Göttsching - E2-E4	4.00 stars
4.00 stars	The Smiths - The Smiths	4.50 stars
4.00 stars	Black Flag - My War	3.50 stars
4.50 stars	Meat Puppets - Meat Puppets II	3.50 stars
3.50 stars	The Gun Club - The Las Vegas Story	3.50 stars
3.50 stars	Prince and The Revolution - Purple Rain	3.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.50 stars
4.00 stars	The Replacements - Let It Be	4.00 stars
4.50 stars	Staatsorchester Stuttgart / Lithuanian Chamber Orchestra / The 12 Cellists of the Berlin Philharmonic Orchestra / Dennis Russell Davies / Saulius Sondeckis / Gidon Kremer / Keith Jarrett / Tatjana Grindenko / Alfred Schnittke - Tabula rasa	5.00 stars
5.00 stars	Minutemen - Double Nickels on the Dime	4.00 stars
3.50 stars	Felt - The Strange Idols Pattern and Other Short Stories	3.50 stars
4.00 stars	Cocteau Twins - Treasure	3.50 stars
3.00 stars	Big Black - Racer-X	3.50 stars
3.00 stars	Camper Van Beethoven - Telephone Free Landslide Victory	4.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.50 stars
3.50 stars	Killing Joke - Night Time	3.50 stars
4.00 stars	Meat Puppets - Up on the Sun	3.50 stars
4.00 stars	Mekons - Fear and Whiskey	3.00 stars
4.00 stars	Prefab Sprout - Steve McQueen	3.50 stars
3.50 stars	Hüsker Dü - Flip Your Wig	3.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.50 stars
4.00 stars	CCCP Fedeli alla Linea - Affinità-divergenze fra il compagno Togliatti e noi: Del conseguimento della maggiore età	4.00 stars
4.00 stars	Big Black - Atomizer	4.50 stars
3.00 stars	Talk Talk - The Colour of Spring	3.50 stars
4.00 stars	Metallica - Master of Puppets	3.50 stars
3.50 stars	Sonic Youth - EVOL	3.00 stars
4.00 stars	The Chameleons - Strange Times	4.00 stars
3.50 stars	The Fall - Bend Sinister	4.00 stars
3.50 stars	Slayer - Reign in Blood	2.50 stars
3.00 stars	Loop - Heaven's End	4.00 stars
3.50 stars	Mars - 78	4.00 stars
3.50 stars	Hüsker Dü - Warehouse: Songs and Stories	3.50 stars
3.00 stars	Prince - Sign "☮" the Times	3.00 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.50 stars
3.50 stars	Big Black - Songs About Fucking	4.50 stars
3.50 stars	Red Temple Spirits - Dancing to Restore an Eclipsed Moon	4.00 stars
4.00 stars	Galaxie 500 - Today	5.00 stars
3.50 stars	Pixies - Surfer Rosa	4.50 stars
4.50 stars	Joy Division - Substance 1977-1980	4.00 stars
4.00 stars	Sonic Youth - Daydream Nation	5.00 stars
3.50 stars	Dinosaur Jr - Bug	4.00 stars
3.50 stars	Mudhoney - Superfuzz Bigmuff	4.00 stars
3.50 stars	My Bloody Valentine - Isn't Anything	4.50 stars
4.00 stars	Kronos Quartet / Pat Metheny - Different Trains; Electric Counterpoint	3.50 stars
4.50 stars	Minor Threat - Complete Discography	3.50 stars
4.50 stars	Pixies - Doolittle	4.50 stars
3.50 stars	The Cure - Disintegration	3.50 stars
3.50 stars	Bastro - Diablo Guapo	4.00 stars
3.00 stars	A.R. Kane - "i"	3.00 stars
3.50 stars	The Wedding Present - Bizarro	4.00 stars
4.00 stars	NoMeansNo - Wrong	4.00 stars
3.50 stars	Godflesh - Streetcleaner	4.00 stars
3.00 stars	The Sundays - Reading, Writing and Arithmetic	3.00 stars
3.00 stars	The Chills - Submarine Bells	3.50 stars
3.00 stars	Nick Cave & The Bad Seeds - The Good Son	3.50 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
3.00 stars	Ecstasy of St. Theresa - Pigment	3.50 stars
3.00 stars	Barkmarket - Vegas Throat	4.00 stars
3.50 stars	Drive Like Jehu - Drive Like Jehu	4.00 stars
4.00 stars	The Jesus Lizard - Goat	4.00 stars
5.00 stars	Slint - Spiderland	5.00 stars
3.00 stars	The Legendary Pink Dots - The Maria Dimension	3.50 stars
4.50 stars	Les Rallizes dénudés - '77 Live	4.50 stars
2.50 stars	Red Hot Chili Peppers - Blood Sugar Sex Magik	3.00 stars
3.50 stars	Nirvana - Nevermind	3.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	3.00 stars
4.00 stars	Scratch Acid - The Greatest Gift	3.50 stars
3.00 stars	Superchunk - No Pocky for Kitty	3.50 stars
4.00 stars	Talk Talk - Laughing Stock	3.50 stars
3.50 stars	Unsane - Unsane	4.00 stars
3.50 stars	God - Possession	3.50 stars
4.00 stars	Dadamah - This Is Not a Dream	4.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.00 stars
3.50 stars	London Sinfonietta / David Zinman / Dawn Upshaw - Symphony No. 3	4.00 stars
3.00 stars	The Nation of Ulysses - Plays Pretty for Baby	3.50 stars
4.00 stars	Cows - 'Cunning Stunts'	4.00 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.00 stars
4.00 stars	The Jesus Lizard - Liar	4.50 stars
3.00 stars	Rage Against the Machine - Rage Against the Machine	3.00 stars
3.50 stars	Man or Astro-Man? - Is It...	4.00 stars
4.50 stars	Moss Icon - Lyburnum Wits End Liberation Fly	3.50 stars
3.00 stars	Superchunk - On the Mouth	4.00 stars
