rental	Album	mandroid
3.50 stars	Hookworms - Pearl Mystic	4.00 stars
3.00 stars	Slow Warm Death - Slow Warm Death	4.00 stars
3.00 stars	Teho Teardo & Blixa Bargeld - Still Smiling	4.00 stars
4.00 stars	Deerhunter - Monomania	4.00 stars
4.00 stars	Vampire Weekend - Modern Vampires of the City	4.50 stars
3.50 stars	Dirty Beaches - Drifters / Love Is the Devil	4.50 stars
4.00 stars	Fuck Buttons - Slow Focus	4.50 stars
3.50 stars	Julia Holter - Loud City Song	4.50 stars
3.50 stars	Chelsea Wolfe - Pain Is Beauty	4.50 stars
3.50 stars	Machinedrum - Vapor City	4.00 stars
4.00 stars	Melt-Banana - Fetch	4.50 stars
3.00 stars	James Ferraro - NYC, Hell 3:00AM	4.00 stars
3.50 stars	HTRK - Psychic 9-5 Club	3.50 stars
4.00 stars	Mac DeMarco - Salad Days	4.00 stars
4.00 stars	Sleaford Mods - Divide and Exit	4.00 stars
4.00 stars	Fennesz - Bécs	4.00 stars
4.00 stars	Ought - More Than Any Other Day	4.50 stars
3.50 stars	Sharon Van Etten - Are We There	4.50 stars
2.50 stars	Ty Segall - Manipulator	3.00 stars
4.00 stars	Iceage - Plowing Into the Field of Love	4.50 stars
3.50 stars	Run the Jewels - Run the Jewels 2	4.50 stars
3.00 stars	Useless Eaters - Bleeding Moon	4.00 stars
3.50 stars	Jack Name - Weird Moons	4.00 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	4.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	5.00 stars
3.50 stars	Lightning Bolt - Fantasy Empire	4.50 stars
4.00 stars	Lower Dens - Escape From Evil	4.00 stars
3.50 stars	Colin Stetson and Sarah Neufeld - Never Were the Way She Was	4.50 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.00 stars
3.50 stars	Container - LP	4.00 stars
4.50 stars	Institute - Catharsis	4.00 stars
3.50 stars	Chelsea Wolfe - Abyss	4.00 stars
4.50 stars	Beach House - Depression Cherry	4.00 stars
4.50 stars	Diät - Positive Energy	4.00 stars
3.50 stars	U.S. Girls - Half Free	4.00 stars
4.00 stars	Julia Holter - Have You in My Wilderness	4.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.50 stars
4.00 stars	Sheer Mag - III 7"	4.00 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	4.50 stars
