rental	Album	meatierwhore
3.50 stars	Country Teasers - The Empire Strikes Back	4.00 stars
4.00 stars	The Marked Men - Fix My Brain	4.00 stars
4.00 stars	The Goslings - Grandeur of Hair	3.50 stars
3.00 stars	Grizzly Bear - Yellow House	3.00 stars
3.50 stars	Deerhoof - Friend Opportunity	2.50 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	4.00 stars
3.50 stars	Battles - Mirrored	3.00 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	3.00 stars
4.50 stars	John Maus - Love Is Real	3.50 stars
3.50 stars	Fuck Buttons - Street Horrrsing	3.50 stars
3.50 stars	Beach House - Devotion	3.00 stars
3.50 stars	Frustration - Relax	4.00 stars
3.50 stars	Cheap Time - Cheap Time	3.50 stars
4.00 stars	Portishead - Third	3.00 stars
4.00 stars	James Ferraro - Marble Surf	3.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.00 stars
3.50 stars	Death - ...For the Whole World to See	3.50 stars
2.50 stars	The Antlers - Hospice	3.00 stars
3.00 stars	Fever Ray - Fever Ray	3.50 stars
4.00 stars	Thee Oh Sees - Help	4.00 stars
3.00 stars	Bill Orcutt - A New Way to Pay Old Debts	3.50 stars
4.00 stars	Factums - Flowers	3.00 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.00 stars
3.00 stars	Christmas Island - Blackout Summer	3.00 stars
4.00 stars	The Estranged - The Subliminal Man	3.50 stars
3.00 stars	Glenn Branca - The Ascension: The Sequel	4.00 stars
3.50 stars	Gonjasufi - A Sufi and a Killer	3.00 stars
3.00 stars	Titus Andronicus - The Monitor	2.50 stars
3.50 stars	Sun Araw - On Patrol	3.50 stars
3.50 stars	Flying Lotus - Cosmogramma	3.50 stars
3.00 stars	Emeralds - Does It Look Like I'm Here?	3.50 stars
4.00 stars	Zach Hill - Face Tat	3.00 stars
4.00 stars	The Soft Moon - The Soft Moon	3.50 stars
3.50 stars	Borden, Ferraro, Godin, Halo & Lopatin - FRKWYS Vol. 7	3.50 stars
4.00 stars	Iceage - New Brigade	3.50 stars
3.00 stars	The Psychic Paramount - II	4.00 stars
4.00 stars	Death Grips - Exmilitary	3.00 stars
4.50 stars	The Men - Leave Home	4.00 stars
3.50 stars	SBTRKT - SBTRKT	2.50 stars
3.00 stars	Shabazz Palaces - Black Up	3.50 stars
3.00 stars	Amen Dunes - Through Donkey Jaw	3.00 stars
3.50 stars	Real Estate - Days	3.50 stars
4.00 stars	Thee Oh Sees / Total Control - Thee Oh Sees / Total Control	4.00 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	4.50 stars
4.00 stars	The Men - Open Your Heart	4.00 stars
4.00 stars	Lower Plenty - Hard Rubbish	3.50 stars
5.00 stars	Parquet Courts - Light Up Gold	4.00 stars
3.50 stars	Goat - World Music	3.50 stars
3.00 stars	Swans - The Seer	3.50 stars
3.50 stars	My Bloody Valentine - m b v	3.00 stars
3.50 stars	Hookworms - Pearl Mystic	3.00 stars
3.50 stars	The Men - New Moon	3.50 stars
3.50 stars	Stara Rzeka - Cień chmury nad ukrytym polem	3.50 stars
4.00 stars	Dean Blunt - The Redeemer	3.00 stars
3.00 stars	Dirty Beaches - Drifters / Love Is the Devil	3.50 stars
3.50 stars	Constant Mongrel - Heavy Breathing	4.00 stars
3.50 stars	Forest Swords - Engravings	3.00 stars
3.50 stars	Chelsea Wolfe - Pain Is Beauty	3.50 stars
4.00 stars	Cuntz - Solid Mates	3.50 stars
4.00 stars	Huerco S. - Colonial Patterns	3.00 stars
3.50 stars	Darkside - Psychic	2.50 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	4.00 stars
4.00 stars	The Men - Tomorrow's Hits	3.50 stars
3.50 stars	Parquet Courts - Sunbathing Animal	3.50 stars
4.00 stars	Total Control - Typical System	4.00 stars
4.00 stars	Golden Pelicans - Golden Pelicans	4.00 stars
3.00 stars	Useless Eaters - Bleeding Moon	3.50 stars
3.50 stars	Richard Dawson - Nothing Important	3.50 stars
3.50 stars	Dream Police - Hypnotized	3.00 stars
3.50 stars	Jack Name - Weird Moons	3.00 stars
3.50 stars	Twerps - Range Anxiety	3.50 stars
3.50 stars	Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	3.00 stars
4.00 stars	Lower Dens - Escape From Evil	3.50 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.00 stars
4.50 stars	Diät - Positive Energy	3.50 stars
3.50 stars	Floating Points - Elaenia	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.50 stars
3.50 stars	Big Ups - Before a Million Universes	3.50 stars
3.00 stars	The Field - The Follower	4.00 stars
4.00 stars	GØGGS - GØGGS	3.00 stars
3.00 stars	Ausmuteants - Band of the Future	3.50 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.50 stars
3.50 stars	Blanck Mass - World Eater	3.50 stars
3.50 stars	Algiers - The Underside of Power	3.50 stars
4.00 stars	Bed Wettin' Bad Boys - Rot	4.00 stars
3.50 stars	Special Interest - Spiraling	3.00 stars
3.00 stars	The Voidz - Virtue	3.00 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	4.00 stars
4.00 stars	The Comet Is Coming - Trust in the Lifeforce of the Deep Mystery	3.50 stars
3.50 stars	Amyl and The Sniffers - Amyl and The Sniffers	3.00 stars
4.00 stars	Pinch Points - Moving Parts	3.50 stars
3.00 stars	Murmuüre - Murmuüre	3.50 stars
4.00 stars	My Bloody Valentine - Loveless	3.50 stars
3.50 stars	Natural Snow Buildings - The Dance of the Moon and the Sun	4.00 stars
3.50 stars	The Nerves - The Nerves	4.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	3.50 stars
4.50 stars	Nice Face - Immer Etwas	4.00 stars
3.50 stars	Nothing People - Soft Crash	3.50 stars
3.50 stars	Nots - 3	3.00 stars
4.00 stars	Oneohtrix Point Never - Replica	3.50 stars
4.00 stars	Ought - Sun Coming Down	3.50 stars
5.00 stars	Parquet Courts - Human Performance	4.00 stars
3.50 stars	Pere Ubu - The Modern Dance	3.00 stars
3.50 stars	Pissed Jeans - King of Jeans	3.50 stars
3.00 stars	Pneu - Highway to Health	4.00 stars
4.00 stars	Viet Cong - Viet Cong	3.50 stars
4.50 stars	Protomartyr - Under Color of Official Right	4.00 stars
4.00 stars	Protomartyr - The Agent Intellect	4.00 stars
3.50 stars	Pylon - Gyrate	3.50 stars
3.00 stars	Raccoo-oo-oon - Behold Secret Kingdom	4.00 stars
3.50 stars	Rapeman - Two Nuns and a Pack Mule	4.00 stars
3.50 stars	Jay Reatard - Blood Visions	4.50 stars
4.00 stars	The Red Crayola with The Familiar Ugly - The Parable of Arable Land	3.00 stars
3.00 stars	Lou Reed - Berlin	4.00 stars
3.50 stars	Steve Reich - Music for 18 Musicians	3.50 stars
3.50 stars	Jack Rose - Kensington Blues	4.00 stars
4.00 stars	Royal Headache - Royal Headache	4.00 stars
3.00 stars	Royal Headache - High	4.00 stars
4.00 stars	Rudimentary Peni - Farce	4.00 stars
4.50 stars	Rudimentary Peni - Death Church	4.00 stars
4.00 stars	Rudimentary Peni - Cacophony	3.50 stars
3.00 stars	Russell St. Bombings - Russell St. Bombings	3.00 stars
3.50 stars	The Saints - Eternally Yours	4.50 stars
3.50 stars	Screaming Females - Ugly	2.50 stars
4.00 stars	Sex Church - 6 Songs by Sex Church	4.00 stars
4.00 stars	Sex Church - Growing Over	4.00 stars
3.50 stars	Sharp Ends - Sharp Ends	3.50 stars
