rental	Album	Marioman42
4.00 stars	Burial - Untrue	4.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	3.50 stars
2.50 stars	Midori - あらためまして、はじめまして、ミドリです。 (Aratamemashite, hajimemashite, Midori desu.)	3.50 stars
3.00 stars	DJ Sprinkles - Midtown 120 Blues	3.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	3.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	3.00 stars
4.00 stars	Death - ...For the Whole World to See	3.50 stars
3.50 stars	Japandroids - Post-Nothing	3.00 stars
3.50 stars	Burial + Four Tet - Moth / Wolf Cub	3.50 stars
3.00 stars	ROME - Flowers From Exile	2.50 stars
3.50 stars	HEALTH - Get Color	3.00 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.50 stars
4.00 stars	The Flaming Lips - Embryonic	3.50 stars
3.00 stars	Converge - Axe to Fall	3.00 stars
3.50 stars	Flying Lotus - Cosmogramma	3.50 stars
3.50 stars	Zs - New Slaves	3.00 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	3.00 stars
3.00 stars	Nails - Unsilent Death	3.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	3.00 stars
3.00 stars	Shinsei Kamattechan - つまんね (Tsumanne)	3.50 stars
4.00 stars	Iceage - New Brigade	3.50 stars
4.00 stars	Colin Stetson - New History Warfare Vol. 2: Judges	3.50 stars
4.00 stars	Death Grips - Exmilitary	4.50 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	4.00 stars
3.50 stars	James Ferraro - Far Side Virtual	3.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	3.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	3.50 stars
3.50 stars	Burial - Kindred EP	3.50 stars
4.50 stars	The Men - Open Your Heart	3.50 stars
3.00 stars	White Suns - Sinews	3.00 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
3.50 stars	Shackleton - Music for the Quiet Hour / The Drawbar Organ EPs	3.50 stars
3.00 stars	Japandroids - Celebration Rock	3.00 stars
3.50 stars	Frank Ocean - channel ORANGE	3.50 stars
3.50 stars	James Ferraro - Live at Primavera Sound 2012	3.50 stars
3.00 stars	Swans - The Seer	4.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.50 stars
4.00 stars	Tame Impala - Lonerism	3.00 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.00 stars
3.50 stars	Metá Metá - MetaL MetaL	3.50 stars
3.50 stars	My Bloody Valentine - m b v	3.50 stars
4.00 stars	Iceage - You're Nothing	3.50 stars
3.50 stars	Deafheaven - Sunbather	3.50 stars
3.00 stars	Kanye West - Yeezus	2.50 stars
3.50 stars	Forest Swords - Engravings	2.50 stars
3.50 stars	Oneohtrix Point Never - R Plus Seven	3.50 stars
4.00 stars	Melt-Banana - Fetch	3.50 stars
3.50 stars	DJ Rashad - Double Cup	3.50 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	4.00 stars
4.00 stars	Ought - More Than Any Other Day	3.00 stars
4.00 stars	Iceage - Plowing Into the Field of Love	3.00 stars
3.00 stars	Soichi Terada - Sounds From the Far East	3.50 stars
3.50 stars	G.L.O.S.S. - Girls Living Outside Society's Shit	3.50 stars
4.00 stars	Tzusing - A Name Out of Place Pt. II	3.50 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
3.50 stars	Lil Ugly Mane - Third Side of Tape	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.50 stars
4.50 stars	Denzel Curry - Imperial	4.50 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
4.00 stars	G.L.O.S.S. - Trans Day of Revenge	3.50 stars
3.50 stars	The Avalanches - Wildflower	4.00 stars
3.50 stars	The Caretaker - Everywhere at the End of Time - Stage 1	3.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.00 stars
4.00 stars	JPEGMAFIA - Veteran	3.50 stars
3.00 stars	Against All Logic - 2012 - 2017	3.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	3.50 stars
3.00 stars	Shygirl - Cruel Practice	3.50 stars
3.50 stars	Denzel Curry - TA13OO	4.00 stars
3.50 stars	Yves Tumor - Safe in the Hands of Love	4.00 stars
3.50 stars	Daughters - You Won't Get What You Want	4.00 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	3.50 stars
4.00 stars	The Screamers - Demos 1977-78	4.00 stars
3.00 stars	Murcof - Martes	3.50 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
3.50 stars	Natural Snow Buildings - The Dance of the Moon and the Sun	3.50 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.00 stars
