rental	Album	davin
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
4.50 stars	Joy Division - Les Bains Douches 18 December 1979	4.50 stars
4.00 stars	The Shins - Oh, Inverted World	4.00 stars
3.50 stars	Fugazi - The Argument	4.00 stars
3.50 stars	Hood - Cold House	4.00 stars
4.00 stars	Theoretical Girls - Theoretical Girls	3.50 stars
3.50 stars	Deerhoof - Apple O'	3.50 stars
3.50 stars	Yeah Yeah Yeahs - Fever to Tell	3.50 stars
3.50 stars	British Sea Power - The Decline of British Sea Power	4.00 stars
3.50 stars	Liars - They Were Wrong, So We Drowned	3.50 stars
3.50 stars	Zelienople - Sleeper Coach	3.50 stars
4.00 stars	Earth - Hex; or Printing in the Infernal Method	4.00 stars
4.00 stars	Boris - Pink	3.50 stars
3.50 stars	Belong - October Language	3.50 stars
4.00 stars	John Maus - Songs	3.50 stars
4.00 stars	The Goslings - Grandeur of Hair	3.50 stars
3.00 stars	My Disco - Cancer	3.50 stars
4.00 stars	Troum & All Sides - Shutûn	4.50 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	4.00 stars
4.00 stars	The Twilight Sad - Fourteen Autumns & Fifteen Winters	3.50 stars
3.00 stars	The Angelic Process - Weighing Souls With Sand	4.00 stars
4.00 stars	The National - Boxer	4.00 stars
4.00 stars	Radiohead - In Rainbows	3.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	3.50 stars
3.50 stars	Beach House - Devotion	3.50 stars
3.50 stars	Frustration - Relax	3.50 stars
3.50 stars	The Caretaker - Persistent Repetition of Phrases	4.50 stars
4.00 stars	The Estranged - Static Thoughts	3.50 stars
3.50 stars	Soap&Skin - Lovetune for Vacuum	4.00 stars
3.50 stars	Amesoeurs - Amesoeurs	4.00 stars
3.50 stars	The Horrors - Primary Colours	4.00 stars
3.00 stars	ROME - Flowers From Exile	4.00 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.50 stars
4.00 stars	The Estranged - The Subliminal Man	3.50 stars
4.50 stars	Beach House - Teen Dream	3.50 stars
3.00 stars	Blessure Grave - Judged by Twelve, Carried by Six	4.00 stars
3.50 stars	Factory Floor - Lying / A Wooden Box	3.00 stars
3.00 stars	Emeralds - Does It Look Like I'm Here?	4.00 stars
3.00 stars	Oneohtrix Point Never - Returnal	3.50 stars
3.50 stars	Merchandise - (Strange Songs) In the Dark	3.50 stars
4.00 stars	The Soft Moon - The Soft Moon	4.50 stars
4.00 stars	Iceage - New Brigade	3.50 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	4.00 stars
3.00 stars	Hateful Abandon - Move	4.00 stars
3.50 stars	Real Estate - Days	4.00 stars
4.00 stars	Thee Oh Sees / Total Control - Thee Oh Sees / Total Control	3.50 stars
4.00 stars	Mac DeMarco - Rock and Roll Night Club	3.50 stars
3.00 stars	Lower - Walk on Heads	3.50 stars
4.50 stars	Merchandise - Children of Desire	3.50 stars
4.00 stars	Beach House - Bloom	3.50 stars
3.50 stars	LFY - Saluting Rome	3.50 stars
3.00 stars	Wild Nothing - Nocturne	4.00 stars
3.00 stars	Cult of Youth - Love Will Prevail	3.00 stars
4.00 stars	Lescop - Lescop	4.00 stars
4.00 stars	Black Marble - A Different Arrangement	3.50 stars
4.00 stars	Mac DeMarco - 2	3.50 stars
3.00 stars	The Soft Moon - Zeros	4.00 stars
3.50 stars	Cold Pumas - Persistent Malaise	3.50 stars
3.50 stars	Alex Cameron - Jumping the Shark	3.50 stars
3.50 stars	My Bloody Valentine - m b v	4.00 stars
4.50 stars	Iceage - You're Nothing	3.50 stars
3.50 stars	Merchandise - Totale Nite	3.50 stars
4.00 stars	Mammane Sani et son orgue - La musique électronique du Niger	4.00 stars
3.00 stars	Dirty Beaches - Drifters / Love Is the Devil	3.50 stars
3.50 stars	Deafheaven - Sunbather	4.00 stars
3.50 stars	Chelsea Wolfe - Pain Is Beauty	4.00 stars
3.50 stars	Alameda 3 - Późne królestwo	3.50 stars
3.00 stars	Lebanon Hanover - Tomb for Two	4.00 stars
4.00 stars	Oneohtrix Point Never - R Plus Seven	3.50 stars
3.50 stars	The Estranged - The Estranged	3.50 stars
3.50 stars	Beth Israel - Dental Denial	3.50 stars
3.50 stars	HTRK - Psychic 9-5 Club	3.00 stars
4.00 stars	Mac DeMarco - Salad Days	3.50 stars
4.50 stars	Merchandise / Destruction Unit / Milk Music - USA '13	3.50 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
4.00 stars	Lower - Seek Warmer Climes	3.50 stars
4.00 stars	Total Control - Typical System	3.50 stars
4.50 stars	Halt Ever - Body Limits	4.00 stars
3.00 stars	Corners - Maxed Out on Distractions	4.00 stars
3.50 stars	Iceage - Plowing Into the Field of Love	3.50 stars
3.50 stars	Ought - Once More With Feeling	3.50 stars
3.50 stars	Twerps - Range Anxiety	3.50 stars
3.50 stars	Conduct - Fear and Desire	3.50 stars
3.50 stars	Slimy Member - E.P.	3.50 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	3.50 stars
4.00 stars	Tears - 33	3.50 stars
3.00 stars	Travis Bretzer - Waxing Romantic	3.50 stars
3.50 stars	Dick Diver - Melbourne, Florida	3.50 stars
3.00 stars	Cemetery - Wind and Shadows	4.00 stars
3.00 stars	Ceremony - The L-Shaped Man	3.50 stars
3.00 stars	Communions - Communions	4.00 stars
3.00 stars	Algiers - Algiers	2.50 stars
3.50 stars	Chelsea Wolfe - Abyss	3.50 stars
3.50 stars	Mac DeMarco - Another One	3.50 stars
3.50 stars	Pleasure Leftists - The Woods of Heaven	4.00 stars
4.50 stars	Beach House - Depression Cherry	3.50 stars
3.00 stars	Woolen Men - Temporary Monument	3.50 stars
4.50 stars	Diät - Positive Energy	3.50 stars
3.00 stars	Deafheaven - New Bermuda	3.50 stars
3.50 stars	Girls Names - Arms Around a Vision	3.50 stars
4.00 stars	The Garden - haha	3.50 stars
3.00 stars	Wax Idols - American Tragic	3.50 stars
3.50 stars	The Mantles - All Odds End	4.00 stars
3.50 stars	Floating Points - Elaenia	3.50 stars
3.50 stars	Oneohtrix Point Never - Garden of Delete	3.00 stars
3.00 stars	Naked Lights - On Nature	3.50 stars
3.50 stars	Not Waving - Animals	3.50 stars
4.00 stars	Internazionale - Wreaths of Life	3.50 stars
3.00 stars	Spectres - Utopia	4.00 stars
3.50 stars	Frankie Cosmos - Next Thing	3.50 stars
3.00 stars	Ausmuteants - Band of the Future	3.50 stars
3.50 stars	Preoccupations - Preoccupations	4.00 stars
3.00 stars	Merchandise - A Corpse Wired for Sound	3.50 stars
3.50 stars	Carla dal Forno - You Know What It's Like	3.50 stars
3.50 stars	Mall Walk - Funny Papers	3.50 stars
4.00 stars	Idles - Brutalism	3.50 stars
4.00 stars	Rope Sect - Personae Ingratae	3.50 stars
3.50 stars	Mac DeMarco - This Old Dog	3.50 stars
4.00 stars	Hoops - Routines	3.50 stars
3.50 stars	Algiers - The Underside of Power	3.00 stars
3.50 stars	Chelsea Wolfe - Hiss Spun	3.50 stars
3.50 stars	Makthaverskan - Ill	4.50 stars
3.00 stars	Shame - Songs of Praise	3.50 stars
3.00 stars	Shopping - The Official Body	3.50 stars
3.50 stars	Luby Sparks - Luby Sparks	3.50 stars
3.00 stars	Criminal Body - Criminal Body [white vinyl]	3.50 stars
3.50 stars	Special Interest - Spiraling	3.50 stars
3.00 stars	Ed Schrader's Music Beat - Riddles	3.50 stars
3.50 stars	Dor - Espelho do tempo	3.50 stars
3.50 stars	Preoccupations - New Material	4.00 stars
3.50 stars	FACS - Negative Houses	3.50 stars
3.00 stars	Bambara - Shadow on Everything	3.50 stars
3.50 stars	Iceage - Beyondless	3.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	3.50 stars
3.00 stars	Deeper - Deeper	3.50 stars
3.50 stars	The Love-Birds - In the Lover's Corner	3.50 stars
3.00 stars	Girls Names - Stains on Silence	3.00 stars
3.50 stars	Deafheaven - Ordinary Corrupt Human Love	3.50 stars
3.50 stars	Kero Kero Bonito - Time 'n' Place	3.50 stars
3.50 stars	David Vassalotti - Guitar Dream	3.50 stars
3.50 stars	Spellling - Mazy Fly	3.00 stars
4.00 stars	Diät - Positive Disintegration	3.50 stars
4.50 stars	Low Life - Downer Edn	3.50 stars
4.50 stars	Possible Humans - Everybody Split	4.00 stars
3.00 stars	The Serfs - Songs of Serfdom	3.50 stars
4.00 stars	Girl Band - The Talkies	3.50 stars
3.50 stars	The Screamers - Demos 1977-78	4.00 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
3.00 stars	Nail Polish - Authentic Living	3.50 stars
3.00 stars	The Naked and the Dead - Demo # 1	4.00 stars
3.00 stars	Negative Scanner - Nose Picker	3.50 stars
4.00 stars	Negative Space - Negative Space	3.50 stars
3.50 stars	Negative Space - Gestalt	3.50 stars
3.50 stars	Negative Space - Cruelty	3.50 stars
3.50 stars	The Nerves - The Nerves	4.00 stars
3.50 stars	Nervosas - Nervosas	4.00 stars
4.50 stars	Nice Face - Immer Etwas	3.50 stars
3.50 stars	No Age - Losing Feeling	3.50 stars
4.00 stars	No Sister - No Sister	3.50 stars
3.00 stars	O Children - O. Children	4.00 stars
3.50 stars	Of a Mesh - Of a Mesh	4.00 stars
3.50 stars	Omni - Deluxe	3.50 stars
3.00 stars	Omni - Multi-Task	3.50 stars
3.00 stars	Oranssi Pazuzu - Värähtelijä	4.00 stars
3.50 stars	The Organ - Grab That Gun	4.50 stars
4.00 stars	Ought - Sun Coming Down	3.50 stars
3.50 stars	Ought - Room Inside the World	3.50 stars
2.50 stars	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	3.50 stars
4.50 stars	Patois Counselors - Proper Release	3.50 stars
3.00 stars	Pawns - Eternal Return	4.00 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	4.00 stars
4.00 stars	Viet Cong - Cassette	4.00 stars
4.00 stars	Viet Cong - Viet Cong	4.00 stars
3.00 stars	Prolapse - Backsaturday	3.50 stars
3.50 stars	Prolapse - The Italian Flag	3.50 stars
3.50 stars	The Proper Ornaments - Wooden Head	3.50 stars
4.50 stars	Protomartyr - Under Color of Official Right	3.50 stars
4.00 stars	Protomartyr - The Agent Intellect	3.50 stars
4.00 stars	Protomartyr - Consolation E.P.	3.50 stars
3.50 stars	Pylon - Gyrate	4.00 stars
3.50 stars	RA - Scandinavia	3.50 stars
