rental	Album	abetco
3.50 stars	Young Thug - JEFFERY	3.00 stars
3.50 stars	Kraus - End Tomorrow	4.00 stars
3.50 stars	Yves Tumor - Serpent Music	4.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	3.50 stars
3.50 stars	Carla dal Forno - You Know What It's Like	3.00 stars
3.50 stars	Dedekind Cut - $uccessor	3.50 stars
3.50 stars	Mchy i Porøsty - Hypnagogic Polish Music for Teenage Mutants	3.50 stars
3.50 stars	William Basinski - A Shadow in Time	3.00 stars
3.50 stars	Bedwetter - Volume 1: Flick Your Tongue Against Your Teeth and Describe the Present.	3.50 stars
3.50 stars	Schwefelgelb - Dahinter das Gesicht	3.00 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	3.00 stars
4.00 stars	(Sandy) Alex G - Rocket	3.00 stars
4.00 stars	Brockhampton - Saturation	3.00 stars
3.50 stars	Love Theme - Love Theme	3.00 stars
3.50 stars	Yves Tumor - Experiencing the Deposit of Faith	4.00 stars
4.00 stars	Iglooghost - Neō Wax Bloom	3.00 stars
4.00 stars	King Krule - The Ooz	3.00 stars
3.50 stars	John Maus - Screen Memories	3.00 stars
3.50 stars	Charli XCX - Pop 2	2.50 stars
4.00 stars	Brockhampton - Saturation III	3.00 stars
4.00 stars	JPEGMAFIA - Veteran	3.50 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	2.50 stars
3.00 stars	Against All Logic - 2012 - 2017	3.00 stars
3.00 stars	Kero Kero Bonito - TOTEP	3.00 stars
3.50 stars	DJ Healer - Nothing 2 Loose	3.00 stars
3.00 stars	Frank Ocean - Endless	3.00 stars
3.00 stars	Haru Nemuri - 春と修羅 (Haru to Shura)	3.00 stars
3.50 stars	Playboi Carti - Die Lit	3.50 stars
4.00 stars	Beach House - 7	3.00 stars
3.00 stars	Shygirl - Cruel Practice	3.00 stars
4.00 stars	Pusha T - DAYTONA	3.00 stars
3.50 stars	Oneohtrix Point Never - Age Of	3.00 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	2.00 stars
3.50 stars	Death Grips - Year of the Snitch	3.50 stars
3.50 stars	Deafheaven - Ordinary Corrupt Human Love	3.00 stars
3.50 stars	Mid-Air Thief - 무너지기 (Crumbling)	3.50 stars
3.00 stars	George Clanton - Slide	2.50 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	3.00 stars
3.50 stars	Yves Tumor - Safe in the Hands of Love	3.50 stars
3.00 stars	Amnesia Scanner - Another Life	3.00 stars
3.50 stars	Low - Double Negative	3.00 stars
4.50 stars	Dean Blunt - Soul on Fire	3.50 stars
3.00 stars	Delroy Edwards & Dean Blunt - Desert Sessions	2.50 stars
3.50 stars	Daughters - You Won't Get What You Want	3.00 stars
3.50 stars	Felicia Atkinson / Jefre Cantu-Ledesma - Limpid as the Solitudes	3.50 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	3.50 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	3.00 stars
3.50 stars	Girlpool - What Chaos Is Imaginary	3.00 stars
3.50 stars	Jessica Pratt - Quiet Signs	3.50 stars
4.50 stars	DJ Armok / DJ Bishop / Pillbox - Dungeon Rap: The Introduction	4.00 stars
4.00 stars	Weyes Blood - Titanic Rising	3.00 stars
3.50 stars	Tim Hecker - Anoyo	3.00 stars
3.00 stars	Carly Rae Jepsen - Dedicated	3.00 stars
3.50 stars	Tyler, the Creator - Igor	3.50 stars
3.00 stars	Shinichiro Yokota - I Know You Like It	3.00 stars
3.00 stars	LINGUA IGNOTA - Caligula	3.00 stars
4.00 stars	(Sandy) Alex G - House of Sugar	4.00 stars
3.00 stars	Murmuüre - Murmuüre	3.50 stars
4.00 stars	My Bloody Valentine - Loveless	4.00 stars
3.50 stars	Ñaka Ñaka - Juan Pestañas	3.00 stars
3.50 stars	Natural Snow Buildings - The Dance of the Moon and the Sun	4.00 stars
3.00 stars	Neutral Milk Hotel - On Avery Island	3.50 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.00 stars
3.50 stars	Nivhek - After Its Own Death / Walking in a Spiral Towards the House	3.00 stars
3.50 stars	Áine O'Dwyer - Music for Church Cleaners Vol. I and II	4.00 stars
3.50 stars	The Olivia Tremor Control - Music From the Unrealized Film Script, Dusk at Cubist Castle	4.50 stars
4.00 stars	Oneohtrix Point Never - Replica	4.00 stars
3.00 stars	Oval - Systemisch	4.00 stars
3.00 stars	Patricia - Body Issues	2.50 stars
3.50 stars	Jai Paul - Leak 04-13 (Bait Ones)	3.50 stars
4.00 stars	Viet Cong - Viet Cong	3.00 stars
3.00 stars	The Radio Dept. - Lesser Matters	3.50 stars
4.00 stars	Radiohead - OK Computer	3.00 stars
4.00 stars	Radiohead - Kid A	4.00 stars
3.50 stars	The Raincoats - The Raincoats	3.50 stars
3.00 stars	Lou Reed - Berlin	3.00 stars
3.50 stars	Steve Reich - Music for 18 Musicians	4.00 stars
3.50 stars	Matana Roberts - Coin Coin Chapter One: Gens de couleur libres	3.50 stars
3.00 stars	Route 8 - This Raw Feeling	3.00 stars
3.00 stars	Skee Mask - Compro	3.50 stars
3.50 stars	Sonic Youth - Dirty	3.00 stars
3.50 stars	SOPHIE - Oil of Every Pearl's Un-Insides	3.50 stars
4.00 stars	Stars of the Lid - The Tired Sounds Of	3.50 stars
4.00 stars	Sufjan Stevens - Carrie & Lowell	3.00 stars
3.50 stars	Andy Stott - Faith in Strangers	3.00 stars
3.50 stars	Talking Heads - Remain in Light	3.00 stars
3.50 stars	Thinking Fellers Union Local 282 - Admonishing the Bishops	3.50 stars
4.00 stars	Thinking Fellers Union Local 282 - Strangers From the Universe	4.00 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	3.50 stars
3.50 stars	Unknown Mortal Orchestra - II	2.50 stars
3.00 stars	U.S. Girls - In a Poem Unlimited	2.50 stars
3.50 stars	Various Artists - Mono no aware	4.00 stars
4.00 stars	The Velvet Underground - White Light / White Heat	5.00 stars
3.00 stars	The Velvet Underground - Loaded	3.00 stars
3.00 stars	Yeasayer - Odd Blood	2.50 stars
4.00 stars	Yo La Tengo - I Am Not Afraid of You and I Will Beat Your Ass	3.00 stars
2.50 stars	Youth Lagoon - The Year of Hibernation	3.50 stars
3.50 stars	АЛ-90 - КОД-915913	4.00 stars
rental and abetco disagree: (65)
rental	Album	abetco
4.00 stars	Beat Happening - You Turn Me On	2.50 stars
4.00 stars	The Beatles - Abbey Road	2.00 stars
4.00 stars	The Books - The Lemon of Pink	2.00 stars
4.50 stars	Coil - Horse Rotorvator	3.00 stars
3.50 stars	The Doors - The Doors	1.50 stars
4.00 stars	Hop Along - Bark Your Head Off, Dog	2.50 stars
4.50 stars	Lower Dens - Twin-Hand Movement	3.00 stars
4.00 stars	Todd Rundgren - A Wizard, A True Star	1.50 stars
3.50 stars	Blondie - Parallel Lines	2.00 stars
3.50 stars	Felt - Crumbling the Antiseptic Beauty	2.00 stars
4.00 stars	The Smiths - The Smiths	1.50 stars
3.50 stars	Tears for Fears - Songs From the Big Chair	1.50 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	2.00 stars
3.50 stars	Weezer - Weezer [Blue Album]	2.00 stars
5.00 stars	Guided by Voices - Bee Thousand	3.50 stars
4.00 stars	Weezer - Pinkerton	1.00 stars
5.00 stars	Life Without Buildings - Any Other City	2.50 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	2.00 stars
4.50 stars	Xiu Xiu - Knife Play	3.00 stars
4.50 stars	Xiu Xiu - A Promise	2.50 stars
4.00 stars	Andrew Jackson Jihad - People Who Can Eat People Are the Luckiest People in the World	2.00 stars
