rental	Album	mohorte
3.50 stars	Carla dal Forno - You Know What It's Like	3.00 stars
4.50 stars	The Men - Devil Music	3.50 stars
4.00 stars	Furia - Księżyc milczy luty	3.00 stars
3.50 stars	William Basinski - A Shadow in Time	3.00 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.50 stars
3.50 stars	Blanck Mass - World Eater	3.50 stars
3.50 stars	Mac DeMarco - This Old Dog	2.50 stars
3.50 stars	Forest Swords - Compassion	4.00 stars
3.50 stars	Girlpool - Powerplant	3.00 stars
4.00 stars	Corridor - Supermercado	3.00 stars
3.50 stars	Ulrika Spacek - Modern English Decoration	3.50 stars
4.00 stars	Richard Dawson - Peasant	3.50 stars
3.50 stars	Big Thief - Capacity	3.00 stars
3.50 stars	Algiers - The Underside of Power	4.00 stars
3.50 stars	Sheer Mag - Need to Feel Your Love	3.50 stars
3.50 stars	METZ - Strange Peace	2.50 stars
4.00 stars	Protomartyr - Relatives in Descent	4.00 stars
3.00 stars	Shame - Songs of Praise	2.00 stars
3.00 stars	Shopping - The Official Body	3.00 stars
3.00 stars	Pendant - Make Me Know You Sweet	3.50 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	4.00 stars
3.00 stars	Against All Logic - 2012 - 2017	3.50 stars
3.50 stars	The Men - Drift	3.00 stars
3.50 stars	Haley Heynderickx - I Need to Start a Garden	3.50 stars
3.50 stars	Preoccupations - New Material	3.50 stars
3.50 stars	FACS - Negative Houses	3.00 stars
3.50 stars	Ulrika Spacek - Suggestive Listening	3.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	3.50 stars
4.00 stars	Beach House - 7	3.50 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	3.50 stars
3.50 stars	Alameda 4 - Czarna woda	4.00 stars
3.50 stars	Snail Mail - Lush	3.00 stars
4.00 stars	Mitski - Be the Cowboy	3.00 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	3.00 stars
3.00 stars	Amnesia Scanner - Another Life	2.00 stars
3.50 stars	Low - Double Negative	3.50 stars
3.00 stars	Tim Hecker - Konoyo	3.50 stars
3.50 stars	Eli Keszler - Stadium	3.50 stars
3.50 stars	Connan Mockasin - Jassbusters	3.50 stars
3.50 stars	Cloud Nothings - Last Building Burning	3.50 stars
3.50 stars	Daughters - You Won't Get What You Want	4.00 stars
3.00 stars	Sharon Van Etten - Remind Me Tomorrow	3.00 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	4.00 stars
3.50 stars	Girlpool - What Chaos Is Imaginary	3.50 stars
3.50 stars	Jessica Pratt - Quiet Signs	3.50 stars
3.50 stars	Fennesz - Agora	4.00 stars
4.00 stars	Weyes Blood - Titanic Rising	4.00 stars
3.00 stars	Vampire Weekend - Father of the Bride	3.00 stars
3.50 stars	Big Thief - U.F.O.F.	3.50 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
3.50 stars	Ñaka Ñaka - Juan Pestañas	3.50 stars
3.50 stars	Natural Snow Buildings - The Dance of the Moon and the Sun	4.00 stars
3.00 stars	Neutral Milk Hotel - On Avery Island	3.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	5.00 stars
3.00 stars	Niechęć - Niechęć	4.00 stars
3.00 stars	No Age - Snares Like a Haircut	3.00 stars
4.00 stars	Angel Olsen - Burn Your Fire for No Witness	3.00 stars
3.50 stars	Omni - Deluxe	3.00 stars
3.00 stars	Omni - Multi-Task	3.00 stars
4.00 stars	Oneohtrix Point Never - Replica	3.50 stars
3.00 stars	Oranssi Pazuzu - Värähtelijä	4.00 stars
4.00 stars	Ought - Sun Coming Down	4.00 stars
3.50 stars	Ought - Room Inside the World	3.50 stars
3.00 stars	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	4.00 stars
5.00 stars	Parquet Courts - Human Performance	4.00 stars
4.00 stars	Pile - Green and Gray	3.00 stars
4.00 stars	Ariel Pink - Pom Pom	3.00 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	4.00 stars
3.50 stars	Pink Floyd - The Dark Side of the Moon	3.00 stars
3.00 stars	Posse - Soft Opening	3.50 stars
4.00 stars	Jessica Pratt - On Your Own Love Again	4.00 stars
4.00 stars	Viet Cong - Viet Cong	3.00 stars
3.50 stars	The Proper Ornaments - Wooden Head	2.50 stars
3.50 stars	Protomartyr - Under Color of Official Right	3.00 stars
4.00 stars	Protomartyr - The Agent Intellect	3.00 stars
3.00 stars	The Radio Dept. - Lesser Matters	3.00 stars
4.00 stars	Radiohead - OK Computer	4.00 stars
4.00 stars	Radiohead - Kid A	4.00 stars
3.50 stars	The Raincoats - The Raincoats	3.50 stars
4.00 stars	Ramones - Ramones	4.00 stars
3.00 stars	Lou Reed - Berlin	3.00 stars
3.50 stars	R.E.M. - Reckoning	4.00 stars
3.50 stars	Rolling Blackouts C.F. - Hope Downs	4.00 stars
3.50 stars	Jack Rose - Kensington Blues	4.00 stars
2.50 stars	Rosetta - The Galilean Satellites	3.50 stars
4.00 stars	Royal Headache - Royal Headache	4.00 stars
3.50 stars	Royal Headache - High	4.00 stars
3.00 stars	Skee Mask - Compro	3.50 stars
3.00 stars	Slug Guts - Playin’ In Time with the Deadbeat	3.50 stars
4.00 stars	The Smiths - The Queen Is Dead	4.50 stars
3.00 stars	Soccer Mommy - Clean	2.00 stars
4.00 stars	The Sound - Jeopardy	3.50 stars
3.00 stars	The Specials - Specials	3.50 stars
4.00 stars	Sufjan Stevens - Carrie & Lowell	4.00 stars
3.50 stars	Andy Stott - Faith in Strangers	3.50 stars
2.50 stars	Sun Kil Moon - Benji	3.00 stars
4.00 stars	Swell Maps - A Trip to Marineville	3.50 stars
3.50 stars	Talking Heads - Remain in Light	4.00 stars
4.00 stars	Talking Heads - The Name of This Band Is Talking Heads	4.00 stars
3.50 stars	The Tallest Man on Earth - The Wild Hunt	3.50 stars
3.50 stars	Teenage Fanclub - Grand Prix	3.50 stars
4.50 stars	Total Control - Henge Beat	4.00 stars
4.50 stars	Twerps - The Twerps	3.50 stars
4.00 stars	Tyvek - On Triple Beams	3.50 stars
3.50 stars	Ulrika Spacek - The Album Paranoia	3.50 stars
3.50 stars	Ultimate Painting - Ultimate Painting	3.00 stars
3.50 stars	Ultimate Painting - Green Lanes	3.50 stars
3.50 stars	Unknown Mortal Orchestra - II	2.50 stars
3.00 stars	U.S. Girls - In a Poem Unlimited	3.00 stars
